river_name_crc,river_norm,matched_description,crc_area_id,catch_area_code,catch_area_region,similarity,region_mismatch,review_needed
CHAMBERS CR.,chambers creek,Chambers Creek,A08E8AD0-56A8-4732-9645-D02217D6480A,714,Puget Sound,1,FALSE,FALSE
CLALLAM R.,clallam river,Clallam River,D32FE859-1A01-4663-A7CE-F38C2EE77DC0,718,Puget Sound,1,FALSE,FALSE
BURLEY CR.,burley creek,Burley Creek (Kitsap Co.),54EA4B95-1210-4F24-9BEC-F7F611696E56,708,Puget Sound,1,FALSE,FALSE
DAKOTA CR.,dakota creek,Dakota Creek (Whatcom Co.),ED05C192-0FB0-4665-931D-E805AFA20604,724,Puget Sound,1,FALSE,FALSE
DEEP CR.,deep creek,Deep Creek (Clallam Co.),A5D6853D-F399-4A46-910E-FFCA9DB700E7,726,Puget Sound,1,FALSE,FALSE
DOSEWALLIPS R.,dosewallips river,Dosewallips River,06598610-91C3-4F87-A0EC-19697E2073EF,734,Puget Sound,1,FALSE,FALSE
DUCKABUSH R.,duckabush river,Duckabush River,BC6B0F11-74C9-413E-93AB-19C25E8C66C7,736,Puget Sound,1,FALSE,FALSE
DUNGENESS R.,dungeness river,Dungeness River,3D058AFC-C265-4157-A296-CAF17F7C3A57,738,Puget Sound,1,FALSE,FALSE
ELWHA R.,elwha river,Elwha River,4269CCD5-AD35-4B5C-A6BE-8413E91B5EF4,742,Puget Sound,1,FALSE,FALSE
HOKO R.,hoko river,Hoko River,8608583F-2BD2-4E26-A3FE-1424802621FE,752,Puget Sound,1,FALSE,FALSE
KENNEDY CR.,kennedy creek,Kennedy Creek,5D693EC5-1772-4817-B6D3-70FDF3729ED6,754,Puget Sound,1,FALSE,FALSE
LAKE SAMMAMISH,lake sammamish,Lake Sammamish,A44BD8E0-BF99-43FD-B0D6-6E87F3A19FAB,763,Puget Sound,1,FALSE,FALSE
LK. WASHINGTON,lake washington,Lake Washington,136E6618-776E-4981-91EB-ECB52AC77A9D,762,Puget Sound,1,FALSE,FALSE
LYRE R.,lyre river,Lyre River,5D615400-51B6-49E2-8DC0-AE3B826C6E92,768,Puget Sound,1,FALSE,FALSE
MCALLISTER CR.,mcallister creek,McAllister Creek (Thurston Co.),DD761F01-2D2F-4D3C-85C0-94EDA4F63D09,770,Puget Sound,1,FALSE,FALSE
MINTER CR.,minter creek,Minter Creek (Pierce/Kitsap Co.),002FC0EC-71D8-4ECB-8033-0469F5A2BB70,778,Puget Sound,1,FALSE,FALSE
MORSE CR.,morse creek,Morse Creek (Clallam Co.),E445DEBF-52FA-4CC1-B602-F7FC60ED624E,782,Puget Sound,1,FALSE,FALSE
NISQUALLY R.,nisqually river,Nisqually River,BED40B95-2E3C-4CB4-B6A7-C72296646DCB,786,Puget Sound,1,FALSE,FALSE
NOOKSACK R.,nooksack river,Nooksack River (below North Fork),966F1105-FFD7-4C79-B26A-C9CA2FB93BF2,794,Puget Sound,1,FALSE,FALSE
PILCHUCK R.,pilchuck river,Pilchuck River (Snohomish Sys.),53653A74-8176-4F4E-AE20-B7A3D4E770CD,840,Puget Sound,1,FALSE,FALSE
PUYALLUP R.,puyallup river,Puyallup River,EE3E49AE-A160-4774-AA95-947546F9CDEF,804,Puget Sound,1,FALSE,FALSE
PYSHT R.,pysht river,Pysht River,7F621061-6778-47E1-AC40-D48F167AD7DB,810,Puget Sound,1,FALSE,FALSE
QUILCENE R.,quilcene river,Quilcene River,C3A141FC-B045-4C85-8B61-9A2D38F2C82F,812,Puget Sound,1,FALSE,FALSE
SALT CR.,salt creek,Salt Creek (Clallam Co.),C7CDE436-5707-46F6-98D6-BC72936AAF9F,814,Puget Sound,1,FALSE,FALSE
SAMISH R.,samish river,Samish River,114F5031-6E00-4E1B-845B-A1971C1B53B1,816,Puget Sound,1,FALSE,FALSE
SAUK R.,sauk river,Sauk River,5B154851-299C-4C99-AD5B-E062A3E8AAD5,828,Puget Sound,1,FALSE,FALSE
SEKIU R.,sekiu river,Sekiu River,2A224436-1099-4A18-9DC5-D225A6B856B2,818,Puget Sound,1,FALSE,FALSE
SKAGIT R.,skagit river,Skagit River,284E24E0-34B6-4D10-B01A-5BDB61E95FCC,830,Puget Sound,1,FALSE,FALSE
SKOKOMISH R.,skokomish river,Skokomish River (Mason Co.),11C26508-AD5C-49F8-ABE7-14EF0EB82412,834,Puget Sound,1,FALSE,FALSE
SKYKOMISH R.,skykomish river,Skykomish River (below forks),7351B11C-BA85-4ED6-BF51-B27495B70FE0,844,Puget Sound,1,FALSE,FALSE
SNOHOMISH R.,snohomish river,Snohomish River,676A7CF2-7AE6-4FEF-8C61-16777A2183BE,850,Puget Sound,1,FALSE,FALSE
SNOQUALMIE R.,snoqualmie river,Snoqualmie River,074B5785-2FAD-4655-936C-C5F6645EE29B,852,Puget Sound,1,FALSE,FALSE
TAHUYA R.,tahuya river,Tahuya River,173E02A0-B4F5-45FC-9F4A-F0417F87DA74,878,Puget Sound,1,FALSE,FALSE
TOLT R.,tolt river,Tolt River,2E59294A-8FE7-497C-9BA2-D82E77822891,858,Puget Sound,1,FALSE,FALSE
UNION R.,union river,Union River,8CBEF64A-3CD8-422C-BC7E-B276DDEE8238,880,Puget Sound,1,FALSE,FALSE
WHATCOM CR.,whatcom creek,Whatcom Creek,56FFE6F4-77FB-4B6D-86AD-DED25B8A60F3,884,Puget Sound,1,FALSE,FALSE
Baker Lake,baker lake,Baker Lake,A4F92713-965C-43C6-91FF-0DC013AA9058,825,Puget Sound,1,FALSE,FALSE
Baker River,baker river,Baker River,3D06BB40-2393-41D9-98BE-5AA5838B4825,824,Puget Sound,1,FALSE,FALSE
