catch_area_code,year,creel_trips,creel_harvest,fisheries,crc_harvest,crc_minus_creel,crc_over_creel,trips_per_salmon_creel,trips_per_salmon_crc,comparable,note
794,2024,772.9798397191568,335.55449999999996,Nooksack fall salmon 2024,4979,4643.4455,14.83812614642331,2.303589550189781,0.1552480095840845,TRUE,NA
358,2023,13255.524479307154,6712.600776308055,Humptulips salmon 2023,2339,-4373.600776308055,0.3484491448166317,1.97472260321099,5.667175921037689,TRUE,NA
618,2024,14067.492078576997,6323.848022329059,Drano Lake salmon and steelhead 2024,10544,4220.151977670941,1.667339247048614,2.2245145722834705,1.3341703412914452,TRUE,NA
804,2024,31315.097499187777,10820.952666666666,Puyallup Carbon salmon 2024,6736,-4084.952666666666,0.6224960229934161,2.8939316586840054,4.648915899523126,TRUE,NA
830,2024,32420.31595919959,12918.226321645725,Skagit fall salmon 2024,9296,-3622.226321645725,0.7196034322779794,2.509656910475105,3.487555503356238,TRUE,NA
329,2025,8683.192252816347,3331.076460944264,Satsop salmon 2025,0,-3331.076460944264,0,2.606722587915293,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
358,2024,13706.481434719859,5263.180535771158,Humptulips salmon 2024,1936,-3327.1805357711582,0.36783841763397507,2.604220269771079,7.07979412950406,TRUE,NA
826,2025,3787.0997178020075,3187.9516129568506,Skagit fall salmon 2025,0,-3187.9516129568506,0,1.1879414048852022,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
804,2022,26961.384408906677,7036.4871648351655,Puyallup_Carbon salmon 2022,3863,-3173.4871648351655,0.548995529943597,3.8316540309554115,6.979390217164555,TRUE,NA
618,2023,16412.007790673746,8690.549255952381,Drano Lake salmon and steelhead 2023,11681,2990.450744047619,1.3441037678946912,1.8884891285131074,1.4050173607288543,TRUE,NA
329,2024,9492.327374905171,5817.9232883310715,Satsop salmon 2024,3367,-2450.9232883310715,0.5787288407107645,1.6315662659120655,2.8192240495708853,TRUE,NA
618,2022,14130.886395399188,5116.544138095238,Drano Lake salmon and steelhead 2022,7339,2222.455861904762,1.434366596265136,2.7618028915626174,1.9254512052594615,TRUE,NA
358,2022,10741.574541485992,4022.7572026132407,Humptulips salmon 2022,1856,-2166.7572026132407,0.4613750983515276,2.6702020530864035,5.787486283128229,TRUE,NA
802,2023,12513.225059962133,4621.388666666667,Puyallup_Carbon salmon 2023,2469,-2152.3886666666667,0.5342549995434273,2.707676406924614,5.068134896703983,TRUE,NA
830,2022,32923.77099781283,8830.644430027072,Skagit fall salmon 2022,6710,-2120.6444300270723,0.7598539442018309,3.728354284752002,4.906672279852882,TRUE,NA
794,2023,121.16719545197827,93.14,Nooksack fall salmon 2023,2112,2018.86,22.675542194545844,1.3009147031563053,0.057370831179913956,TRUE,NA
690,2022,7902.836007067821,2907.310291902091,Yakima fall salmon 2022,946,-1961.3102919020912,0.325386664999244,2.718263691729112,8.353949267513553,TRUE,NA
329,2022,6376.507797692363,3627.2173035714286,Satsop salmon 2022,1715,-1912.2173035714286,0.4728142420117421,1.757961341718879,3.7180803485086664,TRUE,NA
802,2024,11883.639947082502,3896.735833333333,Puyallup Carbon salmon 2024,2001,-1895.7358333333332,0.5135067106379421,3.049639610010986,5.9388505482671174,TRUE,NA
872,2023,252.3364503375305,0,Stillaguamish salmon and gamefish 2023-24,1894,1894,NA,NA,0.13322938243797808,TRUE,NA
404,2025,3234.4485848885297,1863.0650704384723,Quillayute fall salmon 2025,0,-1863.0650704384723,0,1.7360899714186055,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
826,2024,2619.075307144715,1357.3284345238096,Cascade fall salmon 2024,2963,1605.6715654761904,2.1829646566267558,1.9295811098686393,0.8839268670755029,TRUE,NA
329,2023,11776.442332203043,3299.3089373015873,Satsop salmon 2023,4829,1529.6910626984127,1.463639838453414,3.569366360045891,2.438691723380212,TRUE,NA
786,2023,18536.484187715403,3725.7069705128206,Nisqually salmon 2023,5136,1410.2930294871794,1.3785303140179759,4.975293101261791,3.6091285412218466,TRUE,NA
406,2022,1048.9737734347027,1401.5799618226602,Quillayute fall salmon 2022,2791,1389.4200381773398,1.9913241313542274,0.748422353349418,0.3758415526458985,TRUE,NA
786,2022,16879.149752359004,2435.414481818182,Nisqually salmon 2022,3815,1379.5855181818179,1.5664684711704084,6.930709281057454,4.424416710972216,TRUE,NA
860,2022,5716.1892026058695,2418.7564253246755,Wallace salmon and gamefish 2022-23,1186,-1232.7564253246755,0.4903346147559279,2.3632760797063606,4.819721081455202,TRUE,NA
350,2023,729.7981596096621,280.84579365079367,Hoh fall salmon 2023,1352,1071.1542063492063,4.814029729357776,2.598572512419752,0.539791538172827,TRUE,NA
350,2025,1310.861052819305,1040.9505833333333,Hoh fall salmon 2025,0,-1040.9505833333333,0,1.2592922986042856,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
872,2024,1112.942460250824,0,Stillaguamish salmon and gamefish 2024-25,876,876,NA,NA,1.2704822605603014,TRUE,NA
348,2025,526.4358558969425,854.7936666666667,Hoh fall salmon 2025,0,-854.7936666666667,0,0.6158630748281271,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
406,2025,3277.5660867371653,846.9395667766777,Quillayute fall salmon 2025,40,-806.9395667766777,0.047228871538300986,3.869893691720036,81.93915216842913,TRUE,NA
826,2023,2897.708266862889,2749.89550563722,Cascade fall salmon 2023,1950,-799.8955056372201,0.709117854115746,1.0537521374621894,1.4860042394168662,TRUE,NA
802,2022,4095.618184725453,941.0903333333332,Puyallup_Carbon salmon 2022,261,-680.0903333333332,0.27733788219409333,4.35199261926197,15.692023696266103,TRUE,NA
404,2023,1541.8729079723328,746.23335,Quillayute fall salmon 2023,1388,641.76665,1.860007998838433,2.0662074510236415,1.1108594437841015,TRUE,NA
852,2022,2091.7176238111356,826.8765000000001,Snohomish fall salmon 2022,250,-576.8765000000001,0.30234261101869503,2.529661471587517,8.366870495244543,TRUE,NA
406,2023,848.7794386893588,235.08605555555556,Quillayute fall salmon 2023,810,574.9139444444445,3.4455467725884774,3.610505253846395,1.0478758502337764,TRUE,NA
844,2024,2303.07322946025,768.4405714285714,Snohomish fall salmon 2024,241,-527.4405714285714,0.31362217061492254,2.9970739639354487,9.556320454191908,TRUE,NA
404,2024,2137.9769928415058,1235.2827830985916,Quillayute fall salmon 2024,738,-497.2827830985916,0.5974340532366167,1.7307591606503168,2.896987795178192,TRUE,NA
315,2025,2388.038919006784,475.1818563843236,Chehalis salmon 2025,0,-475.1818563843236,0,5.025526305186525,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
872,2022,876.2256981470755,0,Stillaguamish salmon and gamefish 2022-23,426,426,NA,NA,2.0568678360259987,TRUE,NA
850,2024,11637.468283686603,1743.6945349206349,Snohomish fall salmon 2024,1348,-395.69453492063485,0.7730711847768422,6.6740292239410435,8.633136708966322,TRUE,NA
348,2023,114.42208775342246,0,Hoh fall salmon 2023,353,353,NA,NA,0.32414189165275487,TRUE,NA
406,2024,2740.4198323734713,986.7221167002011,Quillayute fall salmon 2024,699,-287.7221167002011,0.7084061339757922,2.777296450532589,3.920486169346883,TRUE,NA
860,2024,2727.6753232354604,911.9333000000001,Wallace salmon and gamefish 2024-25,648,-263.93330000000014,0.7105782846179648,2.9910908212645158,4.209375498820155,TRUE,NA
533,2023,1562.26385472027,62.6927679409378,McNary Reservoir fall salmon 2023,294,231.3072320590622,4.689536124437421,24.919363206168573,5.31382263510296,TRUE,NA
398,2025,989.6828739785651,215.2548571428572,Quillayute fall salmon 2025,0,-215.2548571428572,0,4.597726096009749,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
402,2025,393.49831085449904,169.15301608910895,Quillayute fall salmon 2025,0,-169.15301608910895,0,2.326286104453533,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
852,2024,1423.8291754353274,196.77541666666667,Snohomish fall salmon 2024,40,-156.77541666666667,0.20327742498321902,7.235808209961834,35.59572938588319,TRUE,NA
844,2025,2412.922559037191,156.5216324498296,Snohomish fall salmon 2025,0,-156.5216324498296,0,15.415904634208394,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
533,2024,2767.180410962862,135.85087958914121,McNary Reservoir fall salmon 2024,275,139.14912041085879,2.024278391363328,20.369249130603695,10.062474221683134,TRUE,NA
398,2023,486.93100240453714,64.11616666666667,Quillayute fall salmon 2023,196,131.8838333333333,3.0569513149309713,7.594512082046968,2.4843418490027407,TRUE,NA
860,2023,5649.527955348427,740.2523333333334,Wallace salmon and gamefish 2022-23|Wallace salmon and gamefish 2023-24,610,-130.25233333333335,0.8240433329715948,7.631894829576257,9.26152123827611,TRUE,NA
402,2023,154.93362854145667,0,Quillayute fall salmon 2023,130,130,NA,NA,1.1917971426265899,TRUE,NA
404,2022,1525.3535438930205,153.71722701149426,Quillayute fall salmon 2022,282,128.28277298850574,1.8345373871395256,9.923113847083396,5.409055120188016,TRUE,NA
398,2024,888.4042778691356,17.3895,Quillayute fall salmon 2024,134,116.6105,7.705799476695707,51.08854641416576,6.629882670665191,TRUE,NA
826,2022,1658.0873264483816,954.6986333333333,Cascade fall salmon 2022,844,-110.6986333333333,0.8840486102438121,1.7367651618596798,1.96455844365922,TRUE,NA
398,2022,751.8568963621216,103.72848489326766,Quillayute fall salmon 2022,209,105.27151510673234,2.0148756652047157,7.24831657510231,3.5974014180005818,TRUE,NA
844,2023,3183.1856064839576,337.61583333333334,Snohomish fall salmon 2023,401,63.38416666666666,1.1877405038764473,9.428425127624713,7.938118719411365,TRUE,NA
850,2022,1795.958782634866,0,Snohomish fall salmon 2022,48,48,NA,NA,37.41580797155971,TRUE,NA
533,2025,1975.7572160449931,42.61647282963507,McNary Reservoir fall salmon 2025,0,-42.61647282963507,0,46.36135008036308,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
402,2024,369.41150108602915,0,Quillayute fall salmon 2024,40,40,NA,NA,9.235287527150728,TRUE,NA
400,2023,209.1833561424227,0,Quillayute fall salmon 2023,32,32,NA,NA,6.536979879450709,TRUE,NA
400,2022,244.33943293999482,0,Quillayute fall salmon 2022,25,25,NA,NA,9.773577317599793,TRUE,NA
400,2024,292.29516502151625,17.49656338028169,Quillayute fall salmon 2024,0,-17.49656338028169,0,16.705861526551416,NA,FALSE,CRC coverage absent for this year - ratio not meaningful
402,2022,117.1967343337229,0,Quillayute fall salmon 2022,12,12,NA,NA,9.766394527810242,TRUE,NA
872,2025,918.8440306964845,0,Stillaguamish salmon and gamefish 2025-26,0,0,NA,NA,NA,TRUE,NA
