fishery_name,year,month,crc_area,angler_final,total_effort_hrs,n_completed_angler_trips,mean_trip_length,mean_group_size,sd,total_trips_est,pe_period
Chehalis salmon 2025,2025,12,317,bank,246.90814484658665,1,7.56667,3,NA,32.63101798368194,week
Chehalis salmon 2025,2025,12,317,boat,1131.7386038812786,13,5.476923076923077,1.7692307692307692,1.8060918681478368,206.63766643899748,week
Drano Lake salmon and steelhead 2022,2022,7,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2022,2022,8,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2022,2022,9,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2022,2022,10,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2023,2023,7,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2023,2023,8,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2023,2023,9,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2023,2023,10,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2024,2024,7,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2024,2024,8,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2024,2024,9,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2024,2024,10,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2025,2025,7,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2025,2025,8,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2025,2025,9,618,NA,0,NA,NA,NA,NA,NA,week
Drano Lake salmon and steelhead 2025,2025,10,618,NA,0,NA,NA,NA,NA,NA,week
Hoh fall salmon 2023,2023,9,348,bank,341.8151054860777,NA,NA,NA,NA,NA,week
Hoh fall salmon 2023,2023,9,348,boat,319.39777356902357,1,7.71667,3,NA,41.39062232401069,week
Hoh fall salmon 2023,2023,9,350,bank,2128.1845577690483,11,4.415151818181818,2.272727272727273,2.766780758328416,482.0184323005784,week
Hoh fall salmon 2023,2023,9,350,boat,1831.90286335578,18,7.72037,2.6666666666666665,1.0396009202347511,237.28174470339894,week
Hoh fall salmon 2023,2023,10,348,bank,5.42888949013949,NA,NA,NA,NA,NA,week
Hoh fall salmon 2023,2023,10,348,boat,54.398068181818175,NA,NA,NA,NA,NA,week
Hoh fall salmon 2023,2023,10,350,bank,323.10328583453577,NA,NA,NA,NA,NA,week
Hoh fall salmon 2023,2023,10,350,boat,290.1230303030303,NA,NA,NA,NA,NA,week
Hoh fall salmon 2025,2025,9,350,bank,546.0953988075025,11,3.7742418181818183,1.8181818181818181,2.242659492882583,144.69009276956595,week
Hoh fall salmon 2025,2025,9,350,boat,2270.606041666667,24,7.474305,2.7916666666666665,1.9675511210263823,303.78825076935806,week
Hoh fall salmon 2025,2025,10,348,bank,106.30605627292563,2,4.033335,1.5,1.3670707532713882,26.35686256483174,week
Hoh fall salmon 2025,2025,10,348,boat,981.8830585748791,11,5.540909090909091,2.4545454545454546,2.3762290718760877,177.2061303416517,week
Hoh fall salmon 2025,2025,10,350,bank,902.7312884396868,13,3.505129230769231,1.8461538461538463,1.7833128940844039,257.54579332345315,week
Hoh fall salmon 2025,2025,10,350,boat,3661.3253623188407,45,7.17,2.6222222222222222,2.0074215105996505,510.6450993471187,week
Hoh fall salmon 2025,2025,11,348,bank,151.2300366383576,5,4.53,2,2.9011809903727137,33.38411404820256,week
Hoh fall salmon 2025,2025,11,348,boat,1044.679806763285,15,5.5711113333333335,3.1333333333333333,1.4730317539534707,187.51730925079667,week
Hoh fall salmon 2025,2025,11,350,bank,199.92408448368636,4,2.8208325,1.5,1.5342601818330335,70.87414246811406,week
Hoh fall salmon 2025,2025,11,350,boat,112.84487922705313,3,3.82222,2.3333333333333335,0.5891004127481154,29.523386729977112,week
Hoh fall salmon 2025,2025,12,348,bank,0,NA,NA,NA,NA,NA,week
Hoh fall salmon 2025,2025,12,348,boat,29.98782608695652,1,8,2,NA,3.748478260869565,week
Hoh fall salmon 2025,2025,12,350,bank,0,NA,NA,NA,NA,NA,week
Hoh fall salmon 2025,2025,12,350,boat,0,NA,NA,NA,NA,NA,week
Humptulips salmon 2022,2022,9,358,bank,11334.988745506535,114,4.200292368421053,1.7105263157894737,2.374229720206543,2698.6189891746776,week
Humptulips salmon 2022,2022,9,358,boat,17174.59803921569,110,6.762121272727272,2.7636363636363637,1.9033616347790623,2539.82402067878,week
Humptulips salmon 2022,2022,10,358,bank,3628.4053403454172,51,4.043790588235294,1.607843137254902,1.7809731749393776,897.2782494972989,week
Humptulips salmon 2022,2022,10,358,boat,3156.8925773420483,35,8.16761942857143,2.8285714285714287,2.0666788077278553,386.51318232321336,week
Humptulips salmon 2022,2022,11,358,bank,8076.049370416651,116,3.7087647413793103,1.6724137931034482,2.31690338008767,2177.5577405357676,week
Humptulips salmon 2022,2022,11,358,boat,9292.940788671025,64,7.64947890625,2.65625,1.5966563506080074,1214.8462532628512,week
Humptulips salmon 2022,2022,12,358,bank,2247.5110595437422,80,3.7779165,1.5375,2.252667814456079,594.9075527592371,week
Humptulips salmon 2022,2022,12,358,boat,712.5095221496006,4,7.7958325,2.25,0.6478395363243896,91.39620715935091,week
Humptulips salmon 2023,2023,9,358,bank,10851.130688714455,104,3.525480576923077,1.6923076923076923,1.8754426560784254,3077.9153230181637,week
Humptulips salmon 2023,2023,9,358,boat,14458.76782311556,119,7.009383697478992,2.6218487394957983,1.988677366254344,2062.7730549714133,week
Humptulips salmon 2023,2023,10,358,bank,12705.519199346407,134,3.831467686567164,2.1044776119402986,1.9413860305457973,3316.0971822602073,week
Humptulips salmon 2023,2023,10,358,boat,17601.422844778008,131,7.648218854961832,2.480916030534351,1.980420450406988,2301.375415448392,week
Humptulips salmon 2023,2023,11,358,bank,4789.487754822021,108,2.9777775925925924,1.7314814814814814,1.6911194342259155,1608.410166943351,week
Humptulips salmon 2023,2023,11,358,boat,4298.937838355954,55,6.744545272727272,2.727272727272727,1.3864716370365708,637.3947634007956,week
Humptulips salmon 2024,2024,9,358,bank,12621.007315980965,133,3.712907443609023,1.8421052631578947,2.5933940971261134,3399.2248682916493,week
Humptulips salmon 2024,2024,9,358,boat,12256.436699659429,108,6.533950833333333,2.564814814814815,1.928943949552255,1875.8079165720837,week
Humptulips salmon 2024,2024,10,358,bank,10912.111765396932,153,3.38518522875817,1.6928104575163399,2.0699433045468347,3223.490304960346,week
Humptulips salmon 2024,2024,10,358,boat,9263.413860153258,94,6.838652659574468,2.7127659574468086,1.7339863810593503,1354.5670940289676,week
Humptulips salmon 2024,2024,11,358,bank,5690.811265279626,67,3.312686417910448,1.5970149253731343,1.9909327125090113,1717.8840817867797,week
Humptulips salmon 2024,2024,11,358,boat,3220.0622222222223,27,6.573457037037037,2.5555555555555554,1.486147626254422,489.8582593724008,week
Humptulips salmon 2024,2024,12,358,bank,2539.122063779273,43,3.233333488372093,1.6744186046511629,1.9943569835375914,785.295445988054,week
Humptulips salmon 2024,2024,12,358,boat,893.033031077054,15,6.692222,2.6666666666666665,0.9632927815956506,133.44342597676138,week
Humptulips salmon 2025,2025,9,358,bank,11334.341081891613,60,3.4208333333333334,1.7,2.479297870811218,3313.327478263078,week
Humptulips salmon 2025,2025,9,358,boat,13192.165806781046,70,5.435238285714286,2.642857142857143,2.061343077496307,2427.1550046765547,week
Humptulips salmon 2025,2025,10,358,bank,11408.081324330053,143,3.768764195804196,1.972027972027972,2.403999961053295,3027.0085183442325,week
Humptulips salmon 2025,2025,10,358,boat,10603.035678104574,81,7.017283827160494,2.493827160493827,2.164392195711401,1510.9885732518583,week
Humptulips salmon 2025,2025,11,358,bank,4634.057427816,140,3.2760710714285715,1.6571428571428573,2.092949273419563,1414.5167570480276,week
Humptulips salmon 2025,2025,11,358,boat,3639.0866789215684,58,6.191379310344828,2.603448275862069,1.7293789513314564,587.766715058343,week
Humptulips salmon 2025,2025,12,358,bank,3976.748345587,75,3.4340001333333334,1.44,1.5955722466000255,1158.051307856773,week
Humptulips salmon 2025,2025,12,358,boat,683.0220261437908,5,6.53,2.2,0.7141827108310591,104.59755377393427,week
Lower Chehalis salmon 2023,2023,9,317,bank,3797.203201703139,23,3.0405791304347827,1.5217391304347827,1.9016662326709775,1248.8420918551012,week
Lower Chehalis salmon 2023,2023,9,317,boat,21490.879708245982,212,4.878931179245283,2.0754716981132075,1.9502074025828955,4404.833542163303,week
Lower Chehalis salmon 2023,2023,9,NA,bank,3797.203201703139,NA,NA,NA,NA,NA,week
Lower Chehalis salmon 2023,2023,9,NA,boat,21490.879708245982,8,3.6166675,2.125,1.8388882165649518,5942.177352008715,week
Lower Chehalis salmon 2023,2023,10,317,bank,9328.835618898187,43,2.965890930232558,1.302325581395349,1.9744534345976237,3145.373797736623,week
Lower Chehalis salmon 2023,2023,10,317,boat,22134.49861751689,215,4.915658976744186,2.046511627906977,2.163710738040778,4502.854799780547,week
Lower Chehalis salmon 2023,2023,10,NA,bank,9328.835618898187,NA,NA,NA,NA,NA,week
Lower Chehalis salmon 2023,2023,10,NA,boat,22134.49861751689,11,4.9439400000000004,1.9090909090909092,2.105868755445125,4477.096934331098,week
Lower Chehalis salmon 2023,2023,11,317,bank,1689.494621349263,44,2.323105909090909,1.2045454545454546,1.6039489916312701,727.2568223161231,week
Lower Chehalis salmon 2023,2023,11,317,boat,2814.732806894945,24,4.699999583333334,2.2916666666666665,1.9557231547379297,598.8793737080888,week
Lower Chehalis salmon 2023,2023,11,NA,bank,1689.494621349263,NA,NA,NA,NA,NA,week
Lower Chehalis salmon 2023,2023,11,NA,boat,2814.732806894945,10,3.948332,1.5,2.301347081630428,712.891622815646,week
Lower Chehalis salmon 2023,2023,12,317,bank,57.431229454902315,NA,NA,NA,NA,NA,week
Lower Chehalis salmon 2023,2023,12,317,boat,49.97051013277428,NA,NA,NA,NA,NA,week
Lower Chehalis salmon 2023,2023,12,NA,bank,57.431229454902315,NA,NA,NA,NA,NA,week
Lower Chehalis salmon 2023,2023,12,NA,boat,49.97051013277428,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,8,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,8,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,9,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,9,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,10,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,10,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,11,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,11,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,12,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2022,12,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,1,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,1,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,2,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,2,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,3,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,3,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,4,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,4,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,5,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,5,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,6,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,6,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,7,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2022-23,2023,7,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,8,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,8,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,9,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,9,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,10,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,10,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,11,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,11,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,12,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2023,12,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,1,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,1,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,2,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,2,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,3,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,3,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,4,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,4,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,5,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,5,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,6,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,6,561,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,7,507,NA,0,NA,NA,NA,NA,NA,week
Lower Cowlitz salmon and steelhead 2023-24,2024,7,561,NA,0,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,7,786,bank,2877.450291240095,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,7,786,boat,98.40771241830065,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,8,786,bank,12046.563129012287,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,8,786,boat,450.0453740014524,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,9,786,bank,32537.030217439205,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,9,786,boat,1014.5261147421932,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,10,786,bank,8623.013020187442,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,10,786,boat,650.9047930283224,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,11,786,bank,312.505857246625,NA,NA,NA,NA,NA,week
Nisqually salmon 2022,2022,11,786,boat,28.65249092229484,NA,NA,NA,NA,NA,week
Nooksack fall salmon 2023,2023,11,794,bank,145.88446784696785,17,2.236275294117647,1.411764705882353,1.2679039208626852,65.23546909931255,week
Nooksack fall salmon 2023,2023,11,794,boat,142.22233796296297,4,4.591665,1.75,1.3998335483073217,30.97402314039961,week
Nooksack fall salmon 2024,2024,11,794,bank,1524.1209138645222,10,2.934999,1.5,1.5592694645139291,519.2918000532615,week
Nooksack fall salmon 2024,2024,11,794,boat,304.8181481481481,2,4.725,2,1.520279579551077,64.51177738585146,week
Puyallup Carbon salmon 2024,2024,8,802,bank,0,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2024,2024,8,804,bank,62752.21956109929,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2024,2024,9,802,bank,21515.901286156673,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2024,2024,9,804,bank,34235.31483225327,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2024,2024,10,802,bank,14881.297528243738,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2024,2024,10,804,bank,4559.073028680639,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2025,2025,8,804,bank,112964.08830739598,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2025,2025,9,802,bank,26640.77603029523,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2025,2025,9,804,bank,108891.78444902164,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2025,2025,10,802,bank,16543.993472444727,NA,NA,NA,NA,NA,week
Puyallup Carbon salmon 2025,2025,10,804,bank,11102.687766982463,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2022,2022,8,802,bank,3952.881678932843,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2022,2022,8,804,bank,42976.27137963814,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2022,2022,9,802,bank,14368.18729277829,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2022,2022,9,804,bank,45413.57776448942,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2023,2023,8,802,bank,10189.038035087719,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2023,2023,8,804,bank,140791.6285802469,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2023,2023,9,802,bank,30687.19456359649,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2023,2023,9,804,bank,124959.01999431448,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2023,2023,10,802,bank,7079.630493421053,NA,NA,NA,NA,NA,week
Puyallup_Carbon salmon 2023,2023,10,804,bank,5604.106429093567,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,9,398,bank,67.18300295033274,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,9,398,boat,0,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,9,400,bank,0,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,9,400,boat,0,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,9,402,bank,84.64643214772245,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,9,402,boat,0,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,9,404,bank,1614.1191975893587,3,4.0722233333333335,2.3333333333333335,0.9295069282331002,396.37295537720803,week
Quillayute fall salmon 2022,2022,9,404,boat,130.84148148148148,2,5.441665,1.5,0.12963388619493021,24.044383746791006,week
Quillayute fall salmon 2022,2022,9,406,bank,84.64643214772245,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,9,406,boat,0,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,10,398,bank,158.2825050080913,1,5.25,1,NA,30.14904857296977,week
Quillayute fall salmon 2022,2022,10,398,boat,6.169794238683128,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,10,400,bank,3.066399099183501,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,10,400,boat,0,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,10,402,bank,2.31979195623494,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,10,402,boat,44.84166666666666,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,10,404,bank,681.3191192214118,6,6.641666666666667,4.166666666666667,3.73277885465864,102.58255245491772,week
Quillayute fall salmon 2022,2022,10,404,boat,302.0451440329218,1,2,2,NA,151.0225720164609,week
Quillayute fall salmon 2022,2022,10,406,bank,119.06684008553219,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,10,406,boat,139.50082304526748,1,5.68333,4,NA,24.545613759058067,week
Quillayute fall salmon 2022,2022,11,398,bank,743.2039645949408,28,4.658928214285714,1.4285714285714286,2.732164111805408,159.52251900255678,week
Quillayute fall salmon 2022,2022,11,398,boat,1173.836316872428,29,6.9212644827586205,2.7586206896551726,1.5410124036202077,169.59853503598086,week
Quillayute fall salmon 2022,2022,11,400,bank,517.1196785350623,6,6.558333333333334,1.6666666666666667,2.1872298410973334,78.84925212732844,week
Quillayute fall salmon 2022,2022,11,400,boat,30.421851851851848,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,11,402,bank,85.52336928267444,NA,NA,NA,NA,NA,week
Quillayute fall salmon 2022,2022,11,402,boat,80.4904732510288,2,6.008335,1.5,4.254428157161665,13.396468947059178,week
Quillayute fall salmon 2022,2022,11,404,bank,311.15889881910766,9,4.88889,2.111111111111111,3.4136358793337935,63.64612392978931,week
Quillayute fall salmon 2022,2022,11,404,boat,709.4356584362139,23,6.299999565217392,2.4347826086956523,1.8645353091843708,112.60884244390161,week
Quillayute fall salmon 2022,2022,11,406,bank,1675.8222541312598,22,4.150756818181818,1.9545454545454546,2.853126521944431,403.7389631670426,week
