catch_record_code,crc_name,hydrologic_system,block,region,year,harvest_fish,harvest_species,harvest_license_year,status,source,note,creel_unit,crc_resolution,denominator_pathway,coverage
531,Columbia R 07: John Day to McNary Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2022,,,,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
531,Columbia R 07: John Day to McNary Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2023,1036.0,3.0,2023-24,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
531,Columbia R 07: John Day to McNary Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2024,1005.0,5.0,2024-25,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
531,Columbia R 07: John Day to McNary Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Middle,2025,,,,Blocked - open question,ODFW (Bonneville-McNary),"Totals only, no mode/location split - request from ODFW or donor proportions from LCR",Bonneville-McNary (ODFW),share of multi-CRC unit,provider-supplied,No harvest file for this year
533,Columbia R 08: McNary Dam - Hwy 395 Bridge @ Pasco,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Requested - awaiting response,Todd Miller (McNary workbook),Workbook outstanding; parser stubbed generically,,standalone,,No harvest file for this year
533,Columbia R 08: McNary Dam - Hwy 395 Bridge @ Pasco,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,294.0,4.0,2023-24,Requested - awaiting response,Todd Miller (McNary workbook),Workbook outstanding; parser stubbed generically,,standalone,,"CRC harvest, no creel"
533,Columbia R 08: McNary Dam - Hwy 395 Bridge @ Pasco,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,275.0,4.0,2024-25,Requested - awaiting response,Todd Miller (McNary workbook),Workbook outstanding; parser stubbed generically,,standalone,,"CRC harvest, no creel"
533,Columbia R 08: McNary Dam - Hwy 395 Bridge @ Pasco,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Todd Miller (McNary workbook),Workbook outstanding; parser stubbed generically,,standalone,,No harvest file for this year
534,Columbia R 09:  Hwy 395 Bridge to I-182 Bridge,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Provider data received - harmonizing,Todd Miller (2022 Hanford Reach boat harvest model),"Boat-vs-angler unit confirmed (10,687 boats / 26,342 anglers); 92.6/7.4 boat/bank; NO guided/unguided field - missing dimension, not zero",Hanford Reach salmon,share of multi-CRC unit,provider-supplied,No harvest file for this year
534,Columbia R 09:  Hwy 395 Bridge to I-182 Bridge,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,921.0,5.0,2023-24,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
534,Columbia R 09:  Hwy 395 Bridge to I-182 Bridge,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,630.0,4.0,2024-25,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
534,Columbia R 09:  Hwy 395 Bridge to I-182 Bridge,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,No harvest file for this year
535,Columbia R 09:  I-182 Bridge to old Hanford townsite,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Provider data received - harmonizing,Todd Miller (2022 Hanford Reach boat harvest model),"Boat-vs-angler unit confirmed (10,687 boats / 26,342 anglers); 92.6/7.4 boat/bank; NO guided/unguided field - missing dimension, not zero",Hanford Reach salmon,share of multi-CRC unit,provider-supplied,No harvest file for this year
535,Columbia R 09:  I-182 Bridge to old Hanford townsite,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,5931.0,5.0,2023-24,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
535,Columbia R 09:  I-182 Bridge to old Hanford townsite,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,12676.0,5.0,2024-25,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
535,Columbia R 09:  I-182 Bridge to old Hanford townsite,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,54.0,1.0,2024-25,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,No harvest file for this year
536,Columbia R 09:  Old Hanford townsite to Priest Rapids Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Provider data received - harmonizing,Todd Miller (2022 Hanford Reach boat harvest model),"Boat-vs-angler unit confirmed (10,687 boats / 26,342 anglers); 92.6/7.4 boat/bank; NO guided/unguided field - missing dimension, not zero",Hanford Reach salmon,share of multi-CRC unit,provider-supplied,No harvest file for this year
536,Columbia R 09:  Old Hanford townsite to Priest Rapids Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,9079.0,5.0,2023-24,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
536,Columbia R 09:  Old Hanford townsite to Priest Rapids Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,7073.0,5.0,2024-25,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,"CRC harvest, no creel"
536,Columbia R 09:  Old Hanford townsite to Priest Rapids Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Todd Miller,Angler trips data confirmed for delivery 2026-08-12; verify angler-hrs vs boat/party-hrs,Hanford Reach salmon,share of multi-CRC unit,provider-supplied,No harvest file for this year
537,Columbia R 10: Priest Rapids to Wanapum Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
537,Columbia R 10: Priest Rapids to Wanapum Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,3491.0,4.0,2023-24,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
537,Columbia R 10: Priest Rapids to Wanapum Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,3168.0,4.0,2024-25,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
537,Columbia R 10: Priest Rapids to Wanapum Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
539,Columbia R 11: Wanapum to Rock Island Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
539,Columbia R 11: Wanapum to Rock Island Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,856.0,3.0,2023-24,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
539,Columbia R 11: Wanapum to Rock Island Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,551.0,4.0,2024-25,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
539,Columbia R 11: Wanapum to Rock Island Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
541,Columbia R 12: Rock Island to Rocky Reach Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
541,Columbia R 12: Rock Island to Rocky Reach Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,1531.0,4.0,2023-24,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
541,Columbia R 12: Rock Island to Rocky Reach Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,2366.0,4.0,2024-25,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
541,Columbia R 12: Rock Island to Rocky Reach Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
543,Columbia R 13: Rocky Reach to Wells Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
543,Columbia R 13: Rocky Reach to Wells Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,7890.0,5.0,2023-24,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
543,Columbia R 13: Rocky Reach to Wells Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,11056.0,6.0,2024-25,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
543,Columbia R 13: Rocky Reach to Wells Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
545,Columbia R 14: Wells to Chief Joseph Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
545,Columbia R 14: Wells to Chief Joseph Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,46082.0,6.0,2023-24,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
545,Columbia R 14: Wells to Chief Joseph Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,105247.0,5.0,2024-25,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
545,Columbia R 14: Wells to Chief Joseph Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
547,Columbia R 15: Chief Joseph to Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
547,Columbia R 15: Chief Joseph to Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,Neither
547,Columbia R 15: Chief Joseph to Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,237.0,2.0,2024-25,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
547,Columbia R 15: Chief Joseph to Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
549,Columbia R 16: above Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2022,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
549,Columbia R 16: above Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2023,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,Neither
549,Columbia R 16: above Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2024,26.0,1.0,2024-25,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,"CRC harvest, no creel"
549,Columbia R 16: above Grand Coulee Dam,Columbia R. Mainstem,Columbia mainstem,Columbia - Upper,2025,,,,Requested - awaiting response,Chad Jackson (R2),Contacted 2026-08-11; upper Columbia mainstem creel coverage unknown,,standalone,,No harvest file for this year
501,Abernathy Creek,Abernathy Cr. System,Lower Columbia tribs,Columbia - Lower,2022,,,,Not yet assessed,,,,standalone,,No harvest file for this year
501,Abernathy Creek,Abernathy Cr. System,Lower Columbia tribs,Columbia - Lower,2023,17.0,1.0,2023-24,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
501,Abernathy Creek,Abernathy Cr. System,Lower Columbia tribs,Columbia - Lower,2024,,,,Not yet assessed,,,,standalone,,Neither
501,Abernathy Creek,Abernathy Cr. System,Lower Columbia tribs,Columbia - Lower,2025,,,,Not yet assessed,,,,standalone,,No harvest file for this year
507,Blue Creek (Lewis Co.),Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2022,,,,Pipeline defect - no PE output,multi_fishery_trip_summary.csv,PE run returned zero effort and null angler_final for Lower Cowlitz salmon and steelhead 2022-23 - investigate the study-design branch before treating as a data gap,Lower Cowlitz salmon and steelhead,"CRC-native effort, pooled denominator",pipeline_no_output - PE run returned nothing,No harvest file for this year
507,Blue Creek (Lewis Co.),Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2023,,,,Pipeline defect - no PE output,multi_fishery_trip_summary.csv,PE run returned zero effort and null angler_final for Lower Cowlitz salmon and steelhead 2022-23; Lower Cowlitz salmon and steelhead 2023-24 - investigate the study-design branch before treating as a data gap,Lower Cowlitz salmon and steelhead,"CRC-native effort, pooled denominator",pipeline_no_output - PE run returned nothing,Neither
507,Blue Creek (Lewis Co.),Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2024,13.0,1.0,2024-25,Pipeline defect - no PE output,multi_fishery_trip_summary.csv,PE run returned zero effort and null angler_final for Lower Cowlitz salmon and steelhead 2023-24 - investigate the study-design branch before treating as a data gap,Lower Cowlitz salmon and steelhead,"CRC-native effort, pooled denominator",pipeline_no_output - PE run returned nothing,"CRC harvest, no creel"
507,Blue Creek (Lewis Co.),Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2025,,,,P3 published/projected figure,JSR spring/fall reports,2025 covered via published JSR tables,Lower Cowlitz salmon and steelhead,"CRC-native effort, pooled denominator",pipeline_no_output - PE run returned nothing,No harvest file for this year
508,Big White Salmon River,White Salmon R. System,Lower Columbia tribs,Columbia - Middle,2022,,,,Not yet assessed,,,,standalone,,No harvest file for this year
508,Big White Salmon River,White Salmon R. System,Lower Columbia tribs,Columbia - Middle,2023,182.0,3.0,2023-24,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
508,Big White Salmon River,White Salmon R. System,Lower Columbia tribs,Columbia - Middle,2024,142.0,2.0,2024-25,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
508,Big White Salmon River,White Salmon R. System,Lower Columbia tribs,Columbia - Middle,2025,,,,Not yet assessed,,,,standalone,,No harvest file for this year
515,Chinook River,Chinook R. System,Lower Columbia tribs,Columbia - Lower,2022,,,,Not yet assessed,,,,standalone,,No harvest file for this year
515,Chinook River,Chinook R. System,Lower Columbia tribs,Columbia - Lower,2023,85.0,3.0,2023-24,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
515,Chinook River,Chinook R. System,Lower Columbia tribs,Columbia - Lower,2024,13.0,1.0,2024-25,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
515,Chinook River,Chinook R. System,Lower Columbia tribs,Columbia - Lower,2025,,,,Not yet assessed,,,,standalone,,No harvest file for this year
517,Coal Creek (Cowlitz Co.),Coal Cr. System,Lower Columbia tribs,Columbia - Lower,2022,,,,Not yet assessed,,,,standalone,,No harvest file for this year
517,Coal Creek (Cowlitz Co.),Coal Cr. System,Lower Columbia tribs,Columbia - Lower,2023,51.0,2.0,2023-24,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
517,Coal Creek (Cowlitz Co.),Coal Cr. System,Lower Columbia tribs,Columbia - Lower,2024,239.0,2.0,2024-25,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
517,Coal Creek (Cowlitz Co.),Coal Cr. System,Lower Columbia tribs,Columbia - Lower,2025,,,,Not yet assessed,,,,standalone,,No harvest file for this year
555,Cispus River,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2022,,,,Not yet assessed,,,,standalone,,No harvest file for this year
555,Cispus River,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2023,16.0,1.0,2023-24,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
555,Cispus River,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2024,680.0,2.0,2024-25,Not yet assessed,,,,standalone,,"CRC harvest, no creel"
555,Cispus River,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2025,,,,Not yet assessed,,,,standalone,,No harvest file for this year
556,Goble Creek,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2022,,,,Not yet assessed,,,,standalone,,No harvest file for this year
556,Goble Creek,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2023,,,,Not yet assessed,,,,standalone,,Neither
556,Goble Creek,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2024,,,,Not yet assessed,,,,standalone,,Neither
556,Goble Creek,Cowlitz R. System,Lower Columbia tribs,Columbia - Lower,2025,,,,Not yet assessed,,,,standalone,,No harvest file for this year
