"","crc_area_id","catch_area_code","catch_area_description","catch_area_region","obsolete_flag","obsolete_date"
"35","2877F652-67EC-4812-8ECC-3E4F61EABC70","618","Little White Salmon River and Drano Lake","Columbia River",NA,NA
"36","2A224436-1099-4A18-9DC5-D225A6B856B2","818","Sekiu River","Puget Sound",NA,NA
"37","2A53FAC6-65AB-4F52-B717-989574F2C759","329","Satsop River, below forks and East Fork","Coastal Region",NA,NA
"38","2A8A746B-6B27-46DC-B361-39995103662F","604","Kalama River mouth to Modrow Bridge","Columbia River",NA,NA
"39","2AC6EF20-5AB2-4D76-90A7-FC8AF82CA30B","583","Elochoman River mouth to Foster Rd. Bridge","Columbia River",NA,NA
"40","2B04BF22-99DE-42D0-AFE1-924E2E9A6F9D","672","Icicle River (Creek)","Columbia River",NA,NA
"41","2C58BF2A-8634-4189-BA62-E1776BBDE854","559","Lake Scanewa (Reservoir)","Columbia River",NA,NA
"42","2C8B4FA8-7313-47DA-B876-52CC739B1ED3","788","Nooksack River, Middle Fork","Puget Sound",NA,NA
"43","2D53DB28-90C7-46D9-BBFA-3224D2D8BB54","611","Lewis River (below East Fork)","Columbia River",NA,NA
"44","2E59294A-8FE7-497C-9BA2-D82E77822891","858","Tolt River","Puget Sound",NA,NA
"45","2EC6D885-FA45-4856-898A-FEFB1EDBFD86","533","Columbia R McNary Dam to Hwy. 395 Br. at Pasco","Columbia River",NA,NA
"46","2F9F41A1-9E51-44A5-964F-D0FE16FE8162","575","Toutle River, No. Fork","Columbia River",NA,NA
"47","2FA63B31-DAE2-43ED-8A28-AFBF5D651A1C","659","Walla Walla River","Columbia River",NA,NA
"48","30EFAFF6-0E42-4EC9-8C56-4B568CE9D115","529","Columbia R. The Dalles to John Day Dam","Columbia River",NA,NA
"49","34A1FBD8-4794-4AAA-B1ED-3DD858CF3374","652","Palouse River (Whitman Co.)","Columbia River",NA,NA
"50","36424BF8-6D89-41E2-B1AD-A1C4D617BEB7","832","Suiattle River","Puget Sound",NA,NA
"51","3AE610BB-750B-46DE-A346-A29AD8A4556D","5","Sekiu/Pillar Point - From the mouth of Sekiu River east to Low Point at the mouth of the Lyre River","Marine",NA,NA
"52","3BBD0FA0-0C1A-4F27-B943-38920D521492","4","Neah Bay - From Cape Alava north to the US/Canada border and inside Juan de Fuca Strait to the Sekiu River","Marine",NA,NA
"53","3D058AFC-C265-4157-A296-CAF17F7C3A57","738","Dungeness River","Puget Sound",NA,NA
"54","3D06BB40-2393-41D9-98BE-5AA5838B4825","824","Baker River","Puget Sound",NA,NA
"55","3D08160C-5A3E-4A92-B3E3-CA3B92525867","337","Wynoochee River","Coastal Region",NA,NA
"56","3E888601-C486-410D-83E9-A87357DFFED7","335","Wishkah River","Coastal Region",NA,NA
"57","3FB9FD85-9502-46AB-974A-F7C22E5D072A","535","Columbia R. I-182 Br. to Old Hanford townsite towers","Columbia River",NA,NA
"58","418F5784-A1B7-45F6-A423-522E72C5E838","808","White (Stuck) River","Puget Sound",NA,NA
"59","4196DFA6-CCD4-4AF1-8FBF-4DFB69265505","615","Lewis River, North Fork","Columbia River",NA,NA
"60","41D9E1BB-4048-40C9-8146-50F8147D1395","507","Blue Creek (Lewis Co.)","Columbia River",NA,NA
"61","4269CCD5-AD35-4B5C-A6BE-8413E91B5EF4","742","Elwha River","Puget Sound",NA,NA
"62","428A42B3-F132-4CAE-82FC-8F9EA9DBCD95","521","Columbia R. Rockey Pt.-Tongue Pt. line to Longview Br.","Columbia River",NA,NA
"63","42CA3AAD-4747-4A0D-A4FC-9B01E097144B","419","Van Winkle Creek (Grays Harbor Co.)","Coastal Region",NA,NA
"64","43298F3C-48EC-4B69-BD23-391C1CE3705A","345","Goodman Creek (Jefferson Co.)","Coastal Region",NA,NA
"65","45AC8117-B39C-4573-9CB9-62BD3D4155CE","608","Klickiat River above #5 fishway","Columbia River",NA,NA
"66","4632CFAD-3F14-43BA-930E-A1C7C3C7DA85","350","Hoh River below Oxbox Campground boat launch","Coastal Region",NA,NA
"67","47075A07-D2ED-44B7-975C-4EDC37157460","746","Green/Duwamish River (King Co.)","Puget Sound",NA,NA
"68","48BEEE8E-AACA-490B-B8EB-242A69F874B3","557","Coweeman River","Columbia River",NA,NA
"69","4AEBC7C2-870A-4E49-93C2-C78CA8EE0227","563","Mayfield Lake (Reservoir)","Columbia River",NA,NA
"70","4E2F7470-81BB-49FE-B094-5B46F9B24652","638","Skamokawa Creek","Columbia River",NA,NA
"71","4E790B98-AF65-4D39-95E1-3A250D1B7D0B","386","Big River (Clallam Co.)","Coastal Region",NA,NA
"72","50845924-EE2B-4F07-920E-BC22A5DAE6C3","602","Kalama River upper salmon hatchery upstream","Columbia River",NA,NA
"73","53653A74-8176-4F4E-AE20-B7A3D4E770CD","840","Pilchuck River (Snohomish Sys.)","Puget Sound",NA,NA
"74","54EA4B95-1210-4F24-9BEC-F7F611696E56","708","Burley Creek (Kitsap Co.)","Puget Sound",NA,NA
"75","56FFE6F4-77FB-4B6D-86AD-DED25B8A60F3","884","Whatcom Creek","Puget Sound",NA,NA
"76","5751EB03-3328-4254-BA86-1D44075F1E24","727","Capitol Lake","Puget Sound",NA,NA
"77","5817E126-325F-4819-A9F4-6662DD08D8B1","331","Satsop River, Middle and West Forks","Coastal Region",NA,NA
"78","587B1E7D-DB59-4C7D-BC0A-BB94BEFCD1DB","3","Lapush - From the Queets River north to Cape Alava","Marine",NA,NA
"79","5A8638C0-A989-4AD9-970A-119EB2575B8C","541","Columbia R. Rock Island to Rocky Reach Dam","Columbia River",NA,NA
"80","5AEA74EF-A1E8-4BA7-A985-BB05091227C1","674","Wenatchee River","Columbia River",NA,NA
"81","5B154851-299C-4C99-AD5B-E062A3E8AAD5","828","Sauk River","Puget Sound",NA,NA
"82","5D615400-51B6-49E2-8DC0-AE3B826C6E92","768","Lyre River","Puget Sound",NA,NA
"83","5D693EC5-1772-4817-B6D3-70FDF3729ED6","754","Kennedy Creek","Puget Sound",NA,NA
"84","5E2BC6E0-4F7F-4B6F-AA89-B5A84E50D29E","13","South Puget Sound - All waters south of Tacoma Narrows Bridge","Marine",NA,NA
"85","5F1B9212-4644-422F-B729-641D5BAA337D","613","Lewis River, East Fork","Columbia River",NA,NA
"86","60992F3B-D482-4837-BF99-7870B7D448A2","396","Salmon River (Jefferson Co.)","Coastal Region",NA,NA
"87","60E50438-01BB-4AC8-9485-B682B85886A4","802","Carbon River","Puget Sound",NA,NA
"88","61880C84-5B21-44CE-82A5-FBF6A3AA4171","531","Columbia R. John Day to McNary Dam","Columbia River",NA,NA
"89","64A442DE-89D8-4160-9779-0DFB712A3861","876","Stillaguamish River (below forks)","Puget Sound",NA,NA
"90","676A7CF2-7AE6-4FEF-8C61-16777A2183BE","850","Snohomish River","Puget Sound",NA,NA
"91","68F7CC35-B720-41F1-9C1F-7C03AB71C93A","552","Chelan River","Columbia River",NA,NA
"92","68F8776E-EAB6-433C-8031-4F872689AB4C","348","Hoh River above Oxbox Campground boat launch","Coastal Region",NA,NA
"93","696F768B-E7A2-48E9-BF62-40D1EFCC6E86","406","Sol Duc River","Coastal Region",NA,NA
"94","6A8D9139-6088-4F67-9B6E-854A22C9484F","371","Moclips River","Coastal Region",NA,NA
"95","6B2B8A0E-C235-42CA-8928-779705CE7A08","370","Quigg Lake (Grays Harbor Co.)","Coastal Region",NA,NA
"96","6C59E443-359E-477A-8D7A-5466E701BCB6","539","Columbia R. Wanapum Dam to Rock Island Dam","Columbia River",NA,NA
"97","6DD7191C-19F5-4521-A729-B59EA81355B9","621","Methow River","Columbia River",NA,NA
"98","6E641C80-F0E8-41F1-B1D4-7AC4E68DCDE7","325","Newaukum River","Coastal Region",NA,NA
"99","7351B11C-BA85-4ED6-BF51-B27495B70FE0","844","Skykomish River (below forks)","Puget Sound",NA,NA
"100","737517EC-9A4F-46E7-AEE8-661279525F5B","784","Berry Creek","Puget Sound",NA,NA
"101","74602AF3-7940-4274-AE08-E9C343ECC74C","534","Columbia R Hwy. 395 Br. at Pasco to I-182 Br.","Columbia River",NA,NA
"102","7732A064-9DB3-4C7E-A918-7ED65852174F","519","Columbia R. Buoy 10 to Rocky Pt.-Tonuge Pt. line","Columbia River",NA,NA
"103","7906A33C-DBED-40FD-A914-84E7B0F9EBD1","862","Woods Creek","Puget Sound",NA,NA
"104","79241901-2704-4701-B870-D1CB54FA2190","545","Columbia R. Wells to Chief Joseph Dam","Columbia River",NA,NA
"105","79EC8BD1-9DA5-42CF-AC26-EC04A1FE9807","384","Smith Creek (Pacific Co.)","Coastal Region",NA,NA
"106","7BB0CCBF-5DC3-4A5C-94B7-3C2878D40A17","594","Grays River mouth to Barr Rd. Bridge","Columbia River",NA,NA
"107","7BC03526-811E-4BBB-A9F2-AC79E0170396","571","Tilton River","Columbia River",NA,NA
"108","7D4B2A14-AF18-4C53-BBFD-21DAAE2E023A","584","Elochoman River Foster Rd. Bridge to West Fork","Columbia River",NA,NA
"109","7F4DCF83-8334-452E-A33B-AEBE3EA9A10F","559","Cowlitz R. above Cowlitz Falls Dam and Lake Scanewa (Reservoir)","Columbia River",NA,NA
"110","7F621061-6778-47E1-AC40-D48F167AD7DB","810","Pysht River","Puget Sound",NA,NA
"111","80C0216C-5E77-4F62-AD1A-F518CD9C06BF","424","Willapa River","Coastal Region",NA,NA
"112","83002BBA-64BA-4186-9CAE-1DA11DC6ECB2","379","Nemah River, North (below Nemah Hatchery), Middle, and South","Coastal Region",NA,NA
"113","847437A7-708A-40BB-8CD9-654877D17E18","635","Salmon Creek (Clark Co.)","Columbia River",NA,NA
"114","8497AC70-ADCC-4A79-84E0-117056C83FB8","748","Soos Creek","Puget Sound",NA,NA
"115","84E3C976-7AF7-42BB-BD3B-444BC5080820","394","Queets River","Coastal Region",NA,NA
"116","85C5ABAB-6BD5-4C73-A11C-6A7597D2C292","856","Tokul Creek","Puget Sound",NA,NA
"117","8608583F-2BD2-4E26-A3FE-1424802621FE","752","Hoko River","Puget Sound",NA,NA
"118","861E5B9E-31E7-4F85-BA5B-0C0EF9475C4F","2-1","Willapa Bay - East of line from Leadbetter Point to Buoy 8 and then to Cape Shoalwater","Marine",NA,NA
"119","87AA5085-8B0F-4351-B191-4849BFA49190","543","Columbia R. Rocky Reach to Wells Dam","Columbia River",NA,NA
"120","896881D8-CE2D-40E5-B7C4-490238A110DA","410","Quinault R, Lower (below L. Quinault, not Cook Cr.)","Coastal Region",NA,NA
"121","8A37C661-0DE5-4BE1-88EF-B618FD8B3BF2","377","Salmon Creek (Pacific Co.)","Coastal Region",NA,NA
"122","8A40BE26-1CCA-44B8-9056-AD06533C88A8","722","Curley Creek (Kitsap Co.)","Puget Sound",NA,NA
"123","8CB8ECE3-AC24-482E-A2FE-EE18ED87CB10","362","Humptulips River, West Fork","Coastal Region",NA,NA
"124","8CBEF64A-3CD8-422C-BC7E-B276DDEE8238","880","Union River","Puget Sound",NA,NA
"125","8D1A9FF0-7D5C-4652-833B-0FA7F705E562","677","Wind River above Shipherd Falls","Columbia River",NA,NA
"126","8D271B87-D5FE-448D-8506-E2592F2C91E9","12","Hood Canal - All waters south of the Hood Canal Bridge.","Marine",NA,NA
"127","9002957D-FE98-4E9F-A109-A885ADED3E5C","665","Washougal River, North and West Forks","Columbia River",NA,NA
"128","93BCD60E-D8B5-4719-AEE6-9F2EE7EB0A40","680","Wind River below Shipherd Falls","Columbia River",NA,NA
"129","93DA81A4-E690-4A96-AE0A-74507157095A","7","San Juan Islands - All marine waters north of the Trial Island Line described under Area 6 to the U.S.-Canada boundary","Marine",NA,NA
"130","94422DAC-7E60-4634-AB46-891DD82B378A","311","Cedar River (Jefferson Co.)","Coastal Region",NA,NA
"131","94AC7914-68E6-4623-A33F-8A67D1AF01D3","706","Black River (Thurson Co.)","Coastal Region",NA,NA
"132","9554C652-33C4-4239-907B-A37ABB863A66","523","Columbia R. Longview Br. to I-5 Br.","Columbia River",NA,NA
"133","966F1105-FFD7-4C79-B26A-C9CA2FB93BF2","794","Nooksack River (below North Fork)","Puget Sound",NA,NA
"134","986F27BA-AAAB-4665-A318-49E8AEA9A021","400","Calawah River","Coastal Region",NA,NA
"135","99C25750-1AD2-457E-8380-03B05EA2D862","556","Goble Creek","Columbia River",NA,NA
"136","9BD4A83A-E8E3-4A2F-B0FA-24B767868DCC","398","Bogachiel River","Coastal Region",NA,NA
"137","9E18D07F-8FB8-41F8-B950-FA831CD790FC","361","Humptulips River, East Fork","Coastal Region",NA,NA
"138","9F81BE43-83A0-439E-BEE1-3976965564C3","650","Snake R. upstream of the WA/ID state line, Clarkston","Columbia River",NA,NA
"139","9F8BA973-C968-4A59-B43F-B63419F7E566","352","Hoh River, South Fork","Coastal Region",NA,NA
"140","A08E8AD0-56A8-4732-9645-D02217D6480A","714","Chambers Creek","Puget Sound",NA,NA
"141","A205D555-D72B-4D4E-A5A0-03121D298305","792","Nooksack River, South Fork","Puget Sound",NA,NA
"142","A2A70802-87BB-473A-98D8-EDE21E0D6D48","11","Tacoma/Vashon Island - From the north tip of Vashon Island to the Tacoma Narrows Bridge","Marine",NA,NA
"143","A2E97A79-3005-4FA7-893A-0D1AC33A84C5","596","Grays River, West Fork","Columbia River",NA,NA
"144","A35D36BB-6C5E-48A6-A55D-A5E6595CAEA8","846","Skykomish River, North Fork","Puget Sound",NA,NA
"145","A44BD8E0-BF99-43FD-B0D6-6E87F3A19FAB","763","Lake Sammamish","Puget Sound",NA,NA
"146","A4A87834-7F3A-4EED-AB22-E9C6CACE9883","2-2","Grays Harbor - East of a line from the tip of the north jetty to the exposed end of the south jetty","Marine",NA,NA
"147","A4F92713-965C-43C6-91FF-0DC013AA9058","825","Baker Lake","Puget Sound",NA,NA
"148","A5D6853D-F399-4A46-910E-FFCA9DB700E7","726","Deep Creek (Clallam Co.)","Puget Sound",NA,NA
"149","A67C7281-6A5D-422F-8BC3-F574695701A3","872","Stillaguamish River, North Fork","Puget Sound",NA,NA
"150","A6850641-515B-4B75-BC52-A1FF5D110062","632","Rock Creek (Skamania Co.)","Columbia River",NA,NA
"151","A7AFCE03-07FB-4ED5-8DC2-BEB470484748","657","Touchet River","Columbia River",NA,NA
"152","A7F97020-0460-47DE-AEA8-71C4F549EF1E","648","Snake R. Lower Grantie to WA/ID state line, Clarkston","Columbia River",NA,NA
"153","AA381E06-CE22-49FF-B263-1DF11AE494EE","618","Drano Lake","Columbia River",NA,NA
"154","ABF84B11-5539-42D9-90CA-5223BD4E8627","527","Columbia R. Bonneville Dam to The Dalles Dam","Columbia River",NA,NA
"155","ACD8AACF-8F32-4BDB-8E49-BAA2F6BB800F","566","Delemeter Creek","Columbia River",NA,NA
"156","AD856CB3-643D-499E-8FCD-2BCBC3754F10","422","Willapa River, South Fork","Coastal Region",NA,NA
"157","B2EE2FA4-F46E-494E-95F9-AE3BAEB0E0AF","9","Admiralty Inlet - All waters inside and south of the Partridge Point-Point Wilson line, south and west of a line from Possession Point 110 degrees true to a shipwreck, north of Hood Canal Bridge, and north of the Apple Cove Point-Edwards Point line","Marine",NA,NA
"158","B5BEDF77-2A95-4447-81B3-B192ADD1410D","653","Tucannon River","Columbia River",NA,NA
"159","B5EC80A4-E6E1-4262-A81B-D0A0E95D3ABA","567","Lacamas Creek (Lewis Co.)","Columbia River",NA,NA
"160","B6580E46-2326-4F6E-8ECB-BD6EA108B68C","595","Grays River Barr R. Bridge to South Fork","Columbia River",NA,NA
"161","B7047540-4178-438B-8491-04C81FD6119D","569","Olequa Creek (Lewis Co.)","Columbia River",NA,NA
"162","B73FAD64-1028-47DD-9498-8A5CE56A7DCB","609","Cedar Creek (Clark Co.)","Columbia River",NA,NA
"163","B7D3E5D0-EF9C-48A4-B862-707F8CD6CC7F","508","Big White Salmon River","Columbia River",NA,NA
"164","B7EE616C-DB7F-4A08-AEA7-1C9887EFB905","640","Snake R. below Ice Harbor Dam","Columbia River",NA,NA
"165","B89235AC-7720-41C3-B2E1-BBF6765FE4CC","404","Quillayute River","Coastal Region",NA,NA
"166","B974CD5E-CC16-4414-AFBB-C9AD9F5F9C6F","389","Niawiakum River","Coastal Region",NA,NA
"167","B9C1D748-93DD-49E4-85B9-DA48230EAC99","420","Waatch River","Coastal Region",NA,NA
"168","BAB8C558-47E9-410F-9FBA-67AFF93D623B","536","Columbia R. Old Handford townsite towers to Priest Rapids","Columbia River",NA,NA
"169","BB22D62F-DD2C-40D2-8E85-769B49D96F34","690","Yakima River","Columbia River",NA,NA
"170","BB7517A8-16C3-4DB8-A433-1E310D069CD9","732","Dewatto River","Puget Sound",NA,NA
"171","BC6B0F11-74C9-413E-93AB-19C25E8C66C7","736","Duckabush River","Puget Sound",NA,NA
"172","BED40B95-2E3C-4CB4-B6A7-C72296646DCB","786","Nisqually River","Puget Sound",NA,NA
"173","BF305341-4E40-4803-993A-21E7E966B9FD","315","Chehalis R. above Black R.","Coastal Region",NA,NA
"174","BFDE21FF-1C16-43A2-ADFE-EC22603538DD","392","Clearwater River","Coastal Region",NA,NA
"175","BFFB1291-BB37-4253-8FB3-7D2E1F3A3D8B","644","Snake R. Lower Monumental to Little Goose Dam","Columbia River",NA,NA
"176","C04BE84C-712D-43DC-8735-B6E7D208A20A","369","Kalaloch Creek","Coastal Region",NA,NA
"177","C0DDC78A-CEFB-48DA-BDC1-AC6CB2F3FC35","10","Seattle/Bremerton - From Apple Cove Point/Edwards Point line to a true east-west line through the north tip of Vashon Island","Marine",NA,NA
"178","C1559D74-B5D5-449F-9025-8A654F849957","586","Entiat River","Columbia River",NA,NA
"179","C1D92BAF-2AE7-4D6F-B73F-7745B46C8139","382","North River","Coastal Region",NA,NA
"180","C3A141FC-B045-4C85-8B61-9A2D38F2C82F","812","Quilcene River","Puget Sound",NA,NA
"181","C5004394-FAD7-4B90-906C-E562AC8B404C","555","Cispus River","Columbia River",NA,NA
"182","C60FD9D0-1450-4922-901F-92D496EA6832","566","Green River (Cowlitz Co.) Toutle Hatchery upstream","Columbia River",NA,NA
"183","C63A9A68-4F2D-4BBA-B40B-103F08A961FA","408","Cook Creek","Coastal Region",NA,NA
"184","C7CDE436-5707-46F6-98D6-BC72936AAF9F","814","Salt Creek (Clallam Co.)","Puget Sound",NA,NA
"185","C85B9E8E-1BBC-40B9-9CAF-D35B28DF8640","6","East Juan de Fuca Strait - From Low Point east to the Partridge Point-Point Wilson line north to the line from Trial Island (near Victoria, B.C.)-Navigation Buoy YB R-Smith Island-to Lawson Reef Buoy-Northwest Island-Initiative 77 marker on Fidalgo Island","Marine",NA,NA
"186","CB08B432-6072-4939-B1C8-5262826AFF84","710","California Creek","Puget Sound",NA,NA
"187","CF0CA228-5968-4534-B764-343689AE5D84","900","Sturgeon caught in lakes or streams without a Catch Record Code",NA,NA,NA
"188","D0F71EC8-FE1C-43CF-BFFF-B6BFC7E8EF8C","317","Chehalis R. below Black R.","Coastal Region",NA,NA
"189","D32FE859-1A01-4663-A7CE-F38C2EE77DC0","718","Clallam River","Puget Sound",NA,NA
"190","D405917F-DA11-469E-B714-14FDAAD188C8","826","Cascade River","Puget Sound",NA,NA
"191","D5117269-EA56-4D76-90ED-B0717C0B2003","8-2","Port Susan/Port Gardner - East of East Point Light-Saratoga Passage Light #4 line (described in 8-1 above) and north of","Marine",NA,NA
"192","D5B6162E-EC54-4473-BEE7-07C087C653AE","561","Cowlitz R. below Mayfield Dam","Columbia River",NA,NA
"193","D9AC09CC-EA4E-4466-8225-D6F665F678A7","308","Cedar Creek (Grays Harbor Co.)","Coastal Region",NA,NA
"194","D9B87692-7838-48EC-9588-D083560A88C0","367","Johns River","Coastal Region",NA,NA
"195","DB9F3AE4-621B-4BB3-B027-FE52D9D78AFC","8-1","Deception Pass, Hope Island, Skagit Bay - From West Pt to Reservation Head, eastward thru Deception Pass, including waters of Swinomish Slough & Skagit Bay & the portion of Saratoga Passage north & west of a lline from East Pt light on Whidbey Island to the Saratoga Passage Light #4 on Camano Island","Marine",NA,NA
"196","DC1DA565-FBF9-407A-941E-0D44E846E157","402","Dickey River (Clallam Co.)","Coastal Region",NA,NA
"197","DC596A6A-EAB4-476D-9657-A6CE31B27C4C","667","Washougal River mouth to WDFW Co. Line Access Site","Columbia River",NA,NA
"198","DD761F01-2D2F-4D3C-85C0-94EDA4F63D09","770","McAllister Creek (Thurston Co.)","Puget Sound",NA,NA
"199","DEC32899-2104-4EA5-BC8E-1CA067E92ECC","323","Joe Creek","Coastal Region",NA,NA
"200","DF1C67D3-F964-42F8-B8BF-2562DB9C32EC","1","Ilwaco - West of Buoy 10, north of Cape Falcon, Oregon to Leadbetter Point","Marine",NA,NA
"201","E097CC08-56A4-4D05-8324-F34EB61A770F","414","Raft River","Coastal Region",NA,NA
"202","E0BFB253-AD52-4D97-813D-363CF81537C9","597","Grays River, East Fork","Columbia River",NA,NA
"203","E445DEBF-52FA-4CC1-B602-F7FC60ED624E","782","Morse Creek (Clallam Co.)","Puget Sound",NA,NA
"204","E4E15640-8C7B-4258-AB07-9201F36BC380","380","Williams Creek","Coastal Region",NA,NA
"205","E5B4642B-AD71-46AF-8DA0-854536526889","580","Deep River (Wahkiakum Co.)","Columbia River",NA,NA
"206","E66982B4-E484-4AA8-9E26-37CC9521477E","525","Columbia R. I-5 Br. to Bonneville Dam","Columbia River",NA,NA
"207","E91EA8A6-C89A-4BB3-A43E-E979B623E4A5","670","Lake Wenatchee","Columbia River",NA,NA
"208","E9CA66AE-460B-46BB-8288-D298FC1FC844","321","Cloquallam Creek","Coastal Region",NA,NA
"209","EAF2DEDB-9923-4CB8-82E1-05F931FA9E8D","848","Skykomish River, South Fork","Puget Sound",NA,NA
"210","ED05C192-0FB0-4665-931D-E805AFA20604","724","Dakota Creek (Whatcom Co.)","Puget Sound",NA,NA
"211","EDD1F272-E8FD-46C4-9A24-A2622CAD88B4","2","Westport/Ocean Shores - Leadbetter Point north to Queets River, excluding Willapa Bay and Grays Harbor","Marine",NA,NA
"212","EDFF428C-B739-4219-BEFC-0C98C15E85C1","364","Stevens Creek","Coastal Region",NA,NA
"213","EE26C8F9-9814-4E6B-A9FD-23B2876FAFF8","860","Wallace River","Puget Sound",NA,NA
"214","EE3E49AE-A160-4774-AA95-947546F9CDEF","804","Puyallup River","Puget Sound",NA,NA
"215","EF97F4F7-BB04-4565-AACD-7E1724414A65","390","Palix River","Coastal Region",NA,NA
"216","F0791FED-07CA-4282-B1B7-5D6B30437A7B","515","Chinook River","Columbia River",NA,NA
"217","F264A827-6928-4D1C-8975-DECDC8C8B551","766","Little Quilcene River","Puget Sound",NA,NA
"218","F27B4D29-A9F3-4B7A-86E1-89D10F61BD09","565","Green River (Cowlitz Co.) mouth to Toutle Hatchery","Columbia River",NA,NA
"219","F2BA8BE1-1E21-4D9E-9A24-EC4E56111AE0","642","Snake R. Ice Harbor to Lower Monumental Dam","Columbia River",NA,NA
"220","F35B5429-3FF2-4D18-AF71-EC6C980FBCF4","866","Canyon Creek (Stillaguamish Sys.)","Puget Sound",NA,NA
"221","F39BAB59-62CB-472B-9859-ECC2A5737F1F","646","Snake R. Little Goose to Lower Granite Dam","Columbia River",NA,NA
"222","F410165A-096B-4C33-86D2-6488F85E8735","625","Mill Creek (Lewis Co.)","Columbia River",NA,NA
"223","F5168B34-2678-45C9-B145-92B6CC865340","517","Coal Creek (Cowlitz Co.)","Columbia River",NA,NA
"224","F7762536-2BC4-486A-AEDE-7F9CC4AC0EB3","661","Little Washougal River","Columbia River",NA,NA
"225","F85201E0-49DD-40C0-B1E3-3FFCAEE74D9C","874","Stillaguamish River, South Fork","Puget Sound",NA,NA
"226","F8DE2596-AD31-4778-BD82-C0A52244D8D7","358","Humptulips River (below forks)","Coastal Region",NA,NA
