"fishery_name","year","month","crc_area","angler_final","total_effort_hrs","n_completed_angler_trips","mean_trip_length","mean_group_size","sd","total_trips_est","pe_period","total_salmon_harvest","harvest_expansion","data_provider","district"
"McNary Reservoir fall salmon 2023",2023,8,533,"combined",112.439841666667,11.4285714285714,2.63101183569437,5,NA,42.7363496207883,"week",0,"expanded","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2023",2023,9,533,"combined",3270.97353345085,356.857142857143,3.8956266551128,2.65579834331475,NA,839.652724204945,"week",35.8489986463728,"expanded","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2023",2023,10,533,"combined",1539.88011716081,289.142857142857,2.61831736348969,5.76212088704131,NA,588.118208523227,"week",26.843769294565,"expanded","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2023",2023,11,533,"combined",189.842273809524,8.57142857142857,2.068977392064,12,NA,91.7565723713098,"week",0,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2024",2024,8,NA,"boat",4061.67928847228,171.142857142857,5.30772317125757,3.55176059242548,NA,765.239474143475,"week",74.8781558398323,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2024",2024,9,NA,"boat",82005.5165745443,5025,6.20714516598214,2.98383404429547,NA,13211.4707134562,"week",5375.16026492164,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2024",2024,10,NA,"boat",42430.1543958101,3217.57142857143,5.0091922282893,3.28168273373128,NA,8470.45840169334,"week",5719.98665930838,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2024",2024,11,NA,"boat",1621.51996462281,225.142857142857,4.05949580202678,11.36351763367,NA,399.438758826463,"week",96.0099336584526,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2024",2024,12,NA,"boat",325.518346573877,75.1428571428571,1.45484300899623,20.7715457011783,NA,223.748091416729,"week",0,"expanded","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2024",2024,9,690,"bank",1942.92,650,NA,NA,NA,NA,"week",102.285714285714,"sampled","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2024",2024,10,690,"bank",3102.92571428571,1213.42857142857,NA,NA,NA,NA,"week",330.857142857143,"sampled","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2024",2024,11,690,"bank",180.634285714286,98.5714285714286,NA,NA,NA,NA,"week",14.8571428571429,"sampled","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2024",NA,NA,690,"bank",302.7,54,NA,NA,NA,NA,"week",12,"sampled","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2024",2024,9,533,"combined",2958.04268436619,347.142857142857,2.98555074760403,2.74777777401815,NA,990.786268409634,"week",17.9070699340551,"expanded","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2024",2024,10,533,"combined",1920.42784541819,242.714285714286,2.91317629015776,4.07221459815263,NA,659.221294607678,"week",49.9323187880075,"expanded","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2024",2024,11,533,"combined",3069.00933448722,185.142857142857,3.4579992393261,3.64980601368065,NA,887.510124231638,"week",68.0114908670786,"expanded","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2024",NA,NA,533,"combined",1193.17135473684,57,5.19532005648056,3,NA,229.662723713912,"week",0,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2025",2024,8,NA,"boat",2152.9897247549,143.714285714286,5.62721486280001,2.60276193101025,NA,382.603077587765,"week",20.3861699970603,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2025",2024,9,NA,"boat",56985.1066978612,2534.28571428571,6.48816764554786,3.11797503200108,NA,8782.92760159549,"week",2682.29516621867,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2025",2024,10,NA,"boat",53250.3441951022,2943.71428571429,5.73044727606012,3.38112463141616,NA,9292.528424014,"week",5206.55595955321,"expanded","Todd Miller / R-district weekly summary","R3"
"Hanford Reach fall Chinook 2025",2024,11,NA,"boat",249.467143835048,40.2857142857143,5.56909716990537,4.08695652173913,NA,44.7948987464492,"week",26.4129744720663,"expanded","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2025",2025,9,690,"bank",658.157142857143,324,NA,NA,NA,NA,"week",24,"sampled","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2025",2025,10,690,"bank",2754.45142857143,1190.57142857143,NA,NA,NA,NA,"week",217.714285714286,"sampled","Todd Miller / R-district weekly summary","R3"
"Yakima fall salmon 2025",2025,11,690,"bank",120.091428571429,63.4285714285714,NA,NA,NA,NA,"week",14.2857142857143,"sampled","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2025",2025,9,533,"combined",1659.39859088828,269.571428571429,3.04506648400683,3.69985921497965,NA,544.946588064235,"week",12.6564341269841,"expanded","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2025",2025,10,533,"combined",2044.35286236961,316.428571428571,1.46769742310721,13.317633292002,NA,1392.89803891703,"week",27.7645425239638,"expanded","Todd Miller / R-district weekly summary","R3"
"McNary Reservoir fall salmon 2025",2025,11,533,"combined",118.523060408163,24,3.12621910914432,8,NA,37.9125890637282,"week",2.19549617868717,"expanded","Todd Miller / R-district weekly summary","R3"
"Snake River spring Chinook 2022",2022,NA,NA,"boat",NA,NA,NA,NA,NA,1378,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River spring Chinook 2023",2023,NA,NA,"boat",NA,NA,NA,NA,NA,709,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River spring Chinook 2024",2024,NA,NA,"boat",NA,NA,NA,NA,NA,587,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River spring Chinook 2025",2025,NA,NA,"boat",NA,NA,NA,NA,NA,949,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River fall Chinook 2023",2023,NA,NA,"boat",NA,NA,NA,NA,NA,4827,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River fall Chinook 2024",2024,NA,NA,"boat",NA,NA,NA,NA,NA,6332,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River spring Chinook 2022",2022,NA,NA,"bank",NA,NA,NA,NA,NA,2942,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River spring Chinook 2023",2023,NA,NA,"bank",NA,NA,NA,NA,NA,1540,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River spring Chinook 2024",2024,NA,NA,"bank",NA,NA,NA,NA,NA,1211,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River spring Chinook 2025",2025,NA,NA,"bank",NA,NA,NA,NA,NA,2172,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River fall Chinook 2023",2023,NA,NA,"bank",NA,NA,NA,NA,NA,173,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
"Snake River fall Chinook 2024",2024,NA,NA,"bank",NA,NA,NA,NA,NA,124,"year",NA,NA,"Jeremy Trump / R1 annual angler-trip summary","R1"
