fishery_name,study_design,year,month,catch_area_code,angler_final,total_effort_hrs,n_strata,n_strata_estimated,prop_strata_estimated,n_completed_angler_trips,mean_trip_length,trip_length_source,n_donor_obs,n_trip_length_obs,mean_group_size,sd,total_trips_est,trip_expansion,prev_int_status,pe_period
Chehalis salmon 2024,Standard,2024,10,315,boat,291.64059280544916,9,9,1,NA,3.785936875,area_season,32,NA,2.40625,1.7462104230672286,77.03260842283566,estimated_donor,partial,week
Chehalis salmon 2024,Standard,2024,10,317,bank,12992.24358270635,18,18,1,138,2.6993957971014493,month,138,138,1.463768115942029,2.079577139116737,4813.0191195589505,estimated,partial,week
Chehalis salmon 2024,Standard,2024,10,317,boat,34202.214229814104,18,18,1,308,5.10335512987013,month,308,308,2.301948051948052,1.9423048653535842,6701.907541105116,estimated,partial,week
Chehalis salmon 2024,Standard,2024,11,315,bank,415.939832339852,10,9,0.9,5,3.33,month,5,5,2,1.831795620272633,124.90685655851411,estimated,partial,week
Chehalis salmon 2024,Standard,2024,11,315,boat,738.7299148573861,10,9,0.9,24,3.52361,month,24,24,2.3333333333333335,1.8598019772358656,209.6514412370796,estimated,partial,week
Chehalis salmon 2024,Standard,2024,11,317,bank,3554.1133543592296,20,18,0.9,98,3.4719389795918367,month,98,98,1.336734693877551,2.4331883546234634,1023.668150635831,estimated,partial,week
Chehalis salmon 2024,Standard,2024,11,317,boat,10782.904337484037,20,18,0.9,119,4.650280336134454,month,119,119,2.495798319327731,1.989744127253268,2318.7643664612547,estimated,partial,week
Chehalis salmon 2024,Standard,2024,12,315,bank,558.8579983787201,10,9,0.9,NA,2.1634409677419355,area_season,31,NA,1.5806451612903225,1.5585752943107043,258.3190420776866,estimated_donor,partial,week
Chehalis salmon 2024,Standard,2024,12,315,boat,792.2202532105861,10,9,0.9,8,4.5729175,month,8,8,2.625,1.093267751739187,173.24175500882885,estimated,partial,week
Chehalis salmon 2024,Standard,2024,12,317,bank,485.51131889397595,20,18,0.9,3,0.7000000000000001,month,3,3,1.6666666666666667,0.3464101615137755,693.5875984199656,estimated,partial,week
Chehalis salmon 2024,Standard,2024,12,317,boat,2251.6875217291044,20,18,0.9,33,5.5575754545454545,month,33,33,1.878787878787879,2.0204173875295717,405.1564463938109,estimated,partial,week
Chehalis salmon 2025,Standard,2025,9,317,bank,5114.201652126809,5,5,1,51,3.1248370588235295,month,51,51,1.392156862745098,2.20942752380004,1636.6298644871601,estimated,partial,week
Chehalis salmon 2025,Standard,2025,9,317,boat,42784.58277625571,5,5,1,324,4.885751141975309,month,324,324,2.0864197530864197,2.069788674667456,8757.012285926194,estimated,partial,week
Chehalis salmon 2025,Standard,2025,10,315,bank,2057.5158482650504,9,9,1,50,2.0616666,month,50,50,1.6,1.305974942464574,997.9867007910252,estimated,partial,week
Chehalis salmon 2025,Standard,2025,10,315,boat,876.8760020928462,9,9,1,13,4.262821538461538,month,13,13,1.7692307692307692,2.055527543701155,205.70319310371897,estimated,partial,week
Chehalis salmon 2025,Standard,2025,10,317,bank,11280.620373012827,18,18,1,83,2.81887578313253,month,83,83,1.4698795180722892,2.060481782368741,4001.8153479884877,estimated,partial,week
Chehalis salmon 2025,Standard,2025,10,317,boat,31540.973674657533,18,18,1,356,4.879915646067416,month,356,356,2.396067415730337,2.330183257646773,6463.426002061224,estimated,partial,week
Chehalis salmon 2025,Standard,2025,11,315,bank,1024.7719124580417,9,8,0.8888888888888888,11,2.06212,month,11,11,1.7272727272727273,2.404776470219218,496.9506684664528,estimated,partial,week
Chehalis salmon 2025,Standard,2025,11,315,boat,1554.0036906392695,9,8,0.8888888888888888,64,3.9015625,month,64,64,2.09375,1.764518635117292,398.30290829360536,estimated,partial,week
Chehalis salmon 2025,Standard,2025,11,317,bank,1690.5108867433723,18,16,0.8888888888888888,45,2.732963333333333,month,45,45,1.2222222222222223,1.7994616244234627,618.563325063529,estimated,partial,week
Chehalis salmon 2025,Standard,2025,11,317,boat,6399.012897260274,18,16,0.8888888888888888,116,4.786781724137931,month,116,116,2.336206896551724,2.175670625999487,1336.8090015453326,estimated,partial,week
Chehalis salmon 2025,Standard,2025,12,315,bank,91.21587043153143,9,9,1,1,3.28333,month,1,1,1,1.530405766948682,27.781511584742148,estimated,partial,week
Chehalis salmon 2025,Standard,2025,12,315,boat,205.0296404109589,9,9,1,2,4.066665,month,2,2,2,1.2492243371188378,50.417145353983884,estimated,partial,week
Chehalis salmon 2025,Standard,2025,12,317,bank,246.90814484658665,18,18,1,1,7.56667,month,1,1,3,2.0616601860338415,32.63101798368194,estimated,partial,week
Chehalis salmon 2025,Standard,2025,12,317,boat,1131.7386038812786,18,18,1,13,5.476923076923077,month,13,13,1.7692307692307692,1.8060918681478368,206.63766643899748,estimated,partial,week
Drano Lake salmon and steelhead 2022,Drano,2022,7,618,bank,0,20,1,0.05,1,2.86667,month,1,1,2,2.2230805469378385,0,zero_effort,partial,week
Drano Lake salmon and steelhead 2022,Drano,2022,7,618,boat,630.8589371980677,20,1,0.05,5,4.433334,month,5,5,2.6,1.0541599341086723,142.29898699219765,estimated,partial,week
Drano Lake salmon and steelhead 2022,Drano,2022,8,618,bank,2455.159722222222,18,16,0.8888888888888888,15,3.787778,month,15,15,1.9333333333333333,3.1693564028796577,648.1794134244991,estimated,partial,week
Drano Lake salmon and steelhead 2022,Drano,2022,8,618,boat,16089.136639492754,18,16,0.8888888888888888,210,5.883809714285714,month,210,210,2.4904761904761905,2.7535015887028993,2734.476031818094,estimated,partial,week
Drano Lake salmon and steelhead 2022,Drano,2022,9,618,bank,1155.9716666666666,18,12,0.6666666666666666,5,4.006666,month,5,5,2.2,2.337010670114709,288.51211123329637,estimated,partial,week
Drano Lake salmon and steelhead 2022,Drano,2022,9,618,boat,20860.53235037574,18,12,0.6666666666666666,216,6.197530648148148,month,216,216,2.787037037037037,2.48488514701268,3365.9425882159962,estimated,partial,week
Drano Lake salmon and steelhead 2022,Drano,2022,10,618,bank,3652.9869444444444,20,16,0.8,32,3.39947875,month,32,32,1.21875,1.7174074450879582,1074.5726663078697,estimated,partial,week
Drano Lake salmon and steelhead 2022,Drano,2022,10,618,boat,8008.145544820182,20,16,0.8,150,3.7292218,month,150,150,2.7066666666666666,1.5319273915325133,2147.4039288358185,estimated,partial,week
Drano Lake salmon and steelhead 2023,Drano,2023,7,618,bank,164.49027777777778,20,9,0.45,NA,3.636274705882353,area_season,17,NA,1.6470588235294117,1.8891441593553602,45.23593267353648,estimated_donor,partial,week
Drano Lake salmon and steelhead 2023,Drano,2023,7,618,boat,6881.446989453273,20,9,0.45,24,5.803472083333333,month,24,24,1.7916666666666667,1.440637226565049,1185.746548039012,estimated,partial,week
Drano Lake salmon and steelhead 2023,Drano,2023,8,618,bank,1801.7477777777779,18,18,1,5,3.133334,month,5,5,1.8,0.7827114907678309,575.0257641789154,estimated,partial,week
Drano Lake salmon and steelhead 2023,Drano,2023,8,618,boat,21364.071252837686,18,18,1,326,5.501329386503068,month,326,326,2.5644171779141103,2.293633041898965,3883.4379387011772,estimated,partial,week
Drano Lake salmon and steelhead 2023,Drano,2023,9,618,bank,3368.2748842592596,20,20,1,9,4.05926,month,9,9,1.6666666666666667,1.7122749707990828,829.7755956157673,estimated,partial,week
Drano Lake salmon and steelhead 2023,Drano,2023,9,618,boat,31147.356840711313,20,20,1,327,5.567074373088685,month,327,327,3.0428134556574924,2.4110159084031673,5594.923788206975,estimated,partial,week
Drano Lake salmon and steelhead 2023,Drano,2023,10,618,bank,1882.7147222222222,20,20,1,3,3.2055533333333335,month,3,3,1.3333333333333333,3.725899774501903,587.3290900028353,estimated,partial,week
Drano Lake salmon and steelhead 2023,Drano,2023,10,618,boat,9234.8867026106691,20,20,1,160,4.3972914375,month,160,160,2.85,1.831679268077648,2100.130690419054,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,7,618,bank,335.0357638888889,18,14,0.7777777777777778,8,4.085415,month,8,8,1.25,3.3854913455508933,82.00776760473265,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,7,618,boat,3853.471569895708,18,14,0.7777777777777778,37,4.948197837837838,month,37,37,2.5135135135135136,1.4192236896062718,778.7626316047863,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,7,618,fail,0,18,0,0,NA,5.25671233409611,fishery_season,874,NA,2.6956521739130435,2.3186058331027004,0,zero_effort,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,8,618,bank,1963.4727083333332,20,18,0.9,9,5.520368888888889,month,9,9,1.6666666666666667,3.7583123720376292,355.6778084677111,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,8,618,boat,13765.79423611111,20,18,0.9,199,5.5225293969849245,month,199,199,2.457286432160804,2.3629139976532567,2492.6611062725483,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,8,618,fail,0,20,0,0,NA,5.25671233409611,fishery_season,874,NA,2.6956521739130435,2.3186058331027004,0,zero_effort,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,9,618,bank,3209.361111111111,20,20,1,12,3.720833333333333,month,12,12,1.6666666666666667,2.6697430039385415,862.5382605449794,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,9,618,boat,33362.22096620537,20,20,1,423,5.288455390070922,month,423,423,2.9692671394799053,2.3434748319978542,6308.50002608379,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,9,618,fail,0,20,0,0,NA,5.25671233409611,fishery_season,874,NA,2.6956521739130435,2.3186058331027004,0,zero_effort,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,10,618,bank,2015.4879166666667,18,17,0.9444444444444444,23,4.33333347826087,month,23,23,1.173913043478261,1.847133200560973,465.11258059824144,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,10,618,boat,8801.394705174489,18,17,0.9444444444444444,163,5.206134785276074,month,163,163,2.736196319018405,2.184347070377855,1690.5814136941833,estimated,partial,week
Drano Lake salmon and steelhead 2024,Drano,2024,10,618,fail,387.77200000000005,18,1,0.05555555555555555,NA,5.25671233409611,fishery_season,874,NA,2.6956521739130435,2.3186058331027004,73.76701926122752,estimated_donor,partial,week
Drano Lake salmon and steelhead 2025,Drano,2025,7,618,bank,499.3409722222223,18,14,0.7777777777777778,1,1.05,month,1,1,2,2.8408189688458423,475.56283068783074,estimated,partial,week
Drano Lake salmon and steelhead 2025,Drano,2025,7,618,boat,6405.843143939394,18,14,0.7777777777777778,43,4.960078139534883,month,43,43,2.255813953488372,1.3805196205988386,1291.4802879577383,estimated,partial,week
Drano Lake salmon and steelhead 2025,Drano,2025,8,618,bank,4656.0375,20,18,0.9,7,6.147618571428572,month,7,7,1.4285714285714286,4.420432477825477,757.3725412372224,estimated,partial,week
Drano Lake salmon and steelhead 2025,Drano,2025,8,618,boat,28567.96614859533,20,18,0.9,214,5.804283177570094,month,214,214,2.5841121495327104,2.7990951987841575,4921.876702879102,estimated,partial,week
Drano Lake salmon and steelhead 2025,Drano,2025,9,618,bank,4449.3497916666665,18,18,1,18,4.2259255555555555,month,18,18,1.5,2.233920136874196,1052.8698939850915,estimated,partial,week
Drano Lake salmon and steelhead 2025,Drano,2025,9,618,boat,35357.79747356376,18,18,1,299,5.093979866220736,month,299,299,3.157190635451505,2.296485941202249,6941.094861412555,estimated,partial,week
Drano Lake salmon and steelhead 2025,Drano,2025,10,618,bank,2214.8554166666668,18,18,1,11,2.462120909090909,month,11,11,1.5454545454545454,1.4333155048240742,899.5721568704195,estimated,partial,week
Drano Lake salmon and steelhead 2025,Drano,2025,10,618,boat,10089.40470920139,18,18,1,146,4.332876849315069,month,146,146,3,1.6200842561698188,2328.5694609105494,estimated,partial,week
Hoh fall salmon 2023,Standard,2023,9,348,bank,341.8151054860777,5,5,1,NA,4.304166666666666,type_season,12,NA,2.1666666666666665,2.6658905139433866,79.41493254274798,estimated_donor,partial,week
Hoh fall salmon 2023,Standard,2023,9,348,boat,319.39777356902357,5,5,1,1,7.71667,month,1,1,3,1.005756197515794,41.39062232401069,estimated,partial,week
Hoh fall salmon 2023,Standard,2023,9,350,bank,2128.1845577690483,5,5,1,12,4.304166666666666,month,12,12,2.1666666666666665,2.6658905139433866,494.4475255223346,estimated,partial,week
Hoh fall salmon 2023,Standard,2023,9,350,boat,1831.90286335578,5,5,1,20,7.6199995000000005,month,20,20,2.7,1.0316570829723923,240.40721569020837,estimated,partial,week
Hoh fall salmon 2023,Standard,2023,10,348,bank,5.42888949013949,2,1,0.5,NA,4.304166666666666,type_season,12,NA,2.1666666666666665,2.6658905139433866,1.2613102397226308,estimated_donor,partial,week
Hoh fall salmon 2023,Standard,2023,10,348,boat,54.398068181818175,2,1,0.5,NA,7.71667,area_season,1,NA,3,1.005756197515794,7.04942263720208,estimated_donor,partial,week
Hoh fall salmon 2023,Standard,2023,10,350,bank,323.10328583453577,2,1,0.5,NA,4.304166666666666,area_season,12,NA,2.1666666666666665,2.6658905139433866,75.06755914839167,estimated_donor,partial,week
Hoh fall salmon 2023,Standard,2023,10,350,boat,290.1230303030303,2,1,0.5,NA,7.6199995000000005,area_season,20,NA,2.7,1.0316570829723923,38.07389098949813,estimated_donor,partial,week
Hoh fall salmon 2025,Standard,2025,9,350,bank,546.0953988075025,5,5,1,11,3.7742418181818183,month,11,11,1.8181818181818181,2.242659492882583,144.69009276956595,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,9,350,boat,2270.606041666667,5,5,1,25,7.4233328,month,25,25,2.8,1.9429125433043386,305.8742081005269,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,10,348,bank,106.30605627292563,5,4,0.8,2,4.033335,month,2,2,1.5,1.3670707532713882,26.35686256483174,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,10,348,boat,981.8830585748791,5,4,0.8,11,5.540909090909091,month,11,11,2.4545454545454546,2.3762290718760877,177.2061303416517,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,10,350,bank,902.7312884396868,9,9,1,13,3.505129230769231,month,13,13,1.8461538461538463,1.7833128940844039,257.54579332345315,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,10,350,boat,3661.3253623188407,9,9,1,45,7.17,month,45,45,2.6222222222222222,2.0074215105996505,510.6450993471187,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,11,348,bank,151.2300366383576,9,8,0.8888888888888888,5,4.53,month,5,5,2,2.9011809903727137,33.38411404820256,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,11,348,boat,1044.679806763285,9,8,0.8888888888888888,15,5.5711113333333335,month,15,15,3.1333333333333333,1.4730317539534707,187.51730925079667,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,11,350,bank,199.92408448368636,9,8,0.8888888888888888,4,2.8208325,month,4,4,1.5,1.5342601818330335,70.87414246811406,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,11,350,boat,112.84487922705313,9,8,0.8888888888888888,3,3.82222,month,3,3,2.3333333333333335,0.5891004127481154,29.523386729977112,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,12,348,bank,0,1,1,1,NA,4.388095714285714,area_season,7,NA,1.8571428571428572,2.445699676996729,0,zero_effort,partial,week
Hoh fall salmon 2025,Standard,2025,12,348,boat,29.98782608695652,1,1,1,1,8,month,1,1,2,1.8870905665689006,3.748478260869565,estimated,partial,week
Hoh fall salmon 2025,Standard,2025,12,350,bank,0,1,1,1,NA,3.5130953571428574,area_season,28,NA,1.7857142857142858,1.9069798315398798,0,zero_effort,partial,week
Hoh fall salmon 2025,Standard,2025,12,350,boat,0,1,1,1,NA,7.119177808219178,area_season,73,NA,2.671232876712329,2.053585234395126,0,zero_effort,partial,week
Humptulips salmon 2022,Standard,2022,9,358,bank,11334.988745506535,9,9,1,117,4.182905897435897,month,117,117,1.7264957264957266,2.349006828856412,2709.8359426289826,estimated,partial,week
Humptulips salmon 2022,Standard,2022,9,358,boat,17174.59803921569,9,9,1,113,6.801622477876106,month,113,113,2.7610619469026547,1.9023385326170312,2525.073700441351,estimated,partial,week
Humptulips salmon 2022,Standard,2022,10,358,bank,3628.4053403454172,4,4,1,51,4.043790588235294,month,51,51,1.607843137254902,1.7809731749393776,897.2782494972989,estimated,partial,week
Humptulips salmon 2022,Standard,2022,10,358,boat,3156.8925773420483,4,4,1,35,8.16761942857143,month,35,35,2.8285714285714287,2.0666788077278553,386.51318232321336,estimated,partial,week
Humptulips salmon 2022,Standard,2022,11,358,bank,8076.049370416651,9,8,0.8888888888888888,118,3.720339406779661,month,118,118,1.694915254237288,2.3313964612059395,2170.782954829196,estimated,partial,week
Humptulips salmon 2022,Standard,2022,11,358,boat,9292.940788671025,9,8,0.8888888888888888,64,7.64947890625,month,64,64,2.65625,1.5966563506080074,1214.8462532628512,estimated,partial,week
Humptulips salmon 2022,Standard,2022,12,358,bank,2247.5110595437422,5,5,1,80,3.7779165,month,80,80,1.5375,2.252667814456079,594.9075527592371,estimated,partial,week
Humptulips salmon 2022,Standard,2022,12,358,boat,712.5095221496006,5,5,1,4,7.7958325,month,4,4,2.25,0.6478395363243896,91.39620715935091,estimated,partial,week
Humptulips salmon 2023,Standard,2023,9,358,bank,10851.130688714455,10,10,1,107,3.490654018691589,month,107,107,1.7009345794392523,1.860496146855933,3108.623951445584,estimated,partial,week
Humptulips salmon 2023,Standard,2023,9,358,boat,14458.76782311556,10,10,1,119,7.009383697478992,month,119,119,2.6218487394957983,1.988677366254344,2062.7730549714133,estimated,partial,week
Humptulips salmon 2023,Standard,2023,10,358,bank,12705.519199346407,10,10,1,134,3.831467686567164,month,134,134,2.1044776119402986,1.9413860305457973,3316.0971822602073,estimated,partial,week
Humptulips salmon 2023,Standard,2023,10,358,boat,17601.422844778008,10,10,1,135,7.636296296296297,month,135,135,2.5037037037037035,1.9638543796140955,2304.968555674683,estimated,partial,week
Humptulips salmon 2023,Standard,2023,11,358,bank,4789.487754822021,9,8,0.8888888888888888,110,2.980757363636364,month,110,110,1.7181818181818183,1.69251973843066,1606.8022889924537,estimated,partial,week
Humptulips salmon 2023,Standard,2023,11,358,boat,4298.937838355954,9,8,0.8888888888888888,56,6.744642678571428,month,56,56,2.732142857142857,1.3738097237529472,637.3855581725948,estimated,partial,week
Humptulips salmon 2024,Standard,2024,9,358,bank,12621.007315980965,20,20,1,134,3.6926618656716417,month,134,134,1.8432835820895523,2.594233644493651,3417.8616334494486,estimated,partial,week
Humptulips salmon 2024,Standard,2024,9,358,boat,12256.436699659429,20,20,1,108,6.533950833333333,month,108,108,2.564814814814815,1.928943949552255,1875.8079165720837,estimated,partial,week
Humptulips salmon 2024,Standard,2024,10,358,bank,10912.111765396932,18,18,1,157,3.3755838853503186,month,157,157,1.7006369426751593,2.050814050167937,3232.6590409304763,estimated,partial,week
Humptulips salmon 2024,Standard,2024,10,358,boat,9263.413860153258,18,18,1,96,6.7817710416666666,month,96,96,2.71875,1.7599722270508937,1365.928428317555,estimated,partial,week
Humptulips salmon 2024,Standard,2024,11,358,bank,5690.811265279626,20,18,0.9,68,3.3225488235294116,month,68,68,1.6323529411764706,1.9776920477490774,1712.7848430634958,estimated,partial,week
Humptulips salmon 2024,Standard,2024,11,358,boat,3220.0622222222223,20,18,0.9,27,6.573457037037037,month,27,27,2.5555555555555554,1.486147626254422,489.8582593724008,estimated,partial,week
Humptulips salmon 2024,Standard,2024,12,358,bank,2539.122063779273,20,18,0.9,43,3.233333488372093,month,43,43,1.6744186046511629,1.9943569835375914,785.295445988054,estimated,partial,week
Humptulips salmon 2024,Standard,2024,12,358,boat,893.033031077054,20,18,0.9,15,6.692222,month,15,15,2.6666666666666665,0.9632927815956506,133.44342597676138,estimated,partial,week
Humptulips salmon 2025,Standard,2025,9,358,bank,11334.341081891613,9,8,0.8888888888888888,61,3.4204918032786886,month,61,61,1.7377049180327868,2.4585516905721194,3313.658308149477,estimated,partial,week
Humptulips salmon 2025,Standard,2025,9,358,boat,13192.165806781046,9,8,0.8888888888888888,70,5.435238285714286,month,70,70,2.642857142857143,2.061343077496307,2427.1550046765547,estimated,partial,week
Humptulips salmon 2025,Standard,2025,10,358,bank,11408.081324330053,9,9,1,143,3.768764195804196,month,143,143,1.972027972027972,2.403999961053295,3027.0085183442325,estimated,partial,week
Humptulips salmon 2025,Standard,2025,10,358,boat,10603.035678104574,9,9,1,81,7.017283827160494,month,81,81,2.493827160493827,2.164392195711401,1510.9885732518583,estimated,partial,week
Humptulips salmon 2025,Standard,2025,11,358,bank,4634.057427816,9,8,0.8888888888888888,140,3.2760710714285715,month,140,140,1.6571428571428573,2.092949273419563,1414.5167570480276,estimated,partial,week
Humptulips salmon 2025,Standard,2025,11,358,boat,3639.0866789215684,9,8,0.8888888888888888,58,6.191379310344828,month,58,58,2.603448275862069,1.7293789513314564,587.766715058343,estimated,partial,week
Humptulips salmon 2025,Standard,2025,12,358,bank,3976.748345587,9,9,1,75,3.4340001333333334,month,75,75,1.44,1.5955722466000255,1158.051307856773,estimated,partial,week
Humptulips salmon 2025,Standard,2025,12,358,boat,683.0220261437908,9,9,1,5,6.53,month,5,5,2.2,0.7141827108310591,104.59755377393427,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,9,317,bank,3797.203201703139,5,5,1,23,3.0405791304347827,month,23,23,1.5217391304347827,1.9016662326709775,1248.8420918551012,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,9,317,boat,21490.879708245982,5,5,1,219,4.881431095890411,month,219,219,2.077625570776256,1.929404041965767,4402.577704382382,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,9,NA,bank,3797.203201703139,5,5,1,NA,2.7243935454545456,type_season,110,NA,1.309090909090909,1.831957853600363,1393.7792533822799,estimated_donor,partial,week
Lower Chehalis salmon 2023,Standard,2023,9,NA,boat,21490.879708245982,5,5,1,8,3.6166675,month,8,8,2.125,1.8388882165649518,5942.177352008715,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,10,317,bank,9328.835618898187,10,10,1,43,2.965890930232558,month,43,43,1.302325581395349,1.9744534345976237,3145.373797736623,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,10,317,boat,22134.49861751689,10,10,1,217,4.9145161751152076,month,217,217,2.046082949308756,2.170391138956684,4503.901875345441,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,10,NA,bank,9328.835618898187,10,10,1,NA,2.7243935454545456,type_season,110,NA,1.309090909090909,1.831957853600363,3424.187975508413,estimated_donor,partial,week
Lower Chehalis salmon 2023,Standard,2023,10,NA,boat,22134.49861751689,10,10,1,12,4.962500833333333,month,12,12,1.9166666666666667,2.0088962765678904,4460.351617240747,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,11,317,bank,1689.494621349263,9,8,0.8888888888888888,44,2.323105909090909,month,44,44,1.2045454545454546,1.6039489916312701,727.2568223161231,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,11,317,boat,2814.732806894945,9,8,0.8888888888888888,24,4.699999583333334,month,24,24,2.2916666666666665,1.9557231547379297,598.8793737080888,estimated,partial,week
Lower Chehalis salmon 2023,Standard,2023,11,NA,bank,1689.494621349263,9,8,0.8888888888888888,NA,2.7243935454545456,type_season,110,NA,1.309090909090909,1.831957853600363,620.1360387775338,estimated_donor,partial,week
Lower Chehalis salmon 2023,Standard,2023,11,NA,boat,2814.732806894945,9,8,0.8888888888888888,10,3.948332,month,10,10,1.5,2.301347081630428,712.891622815646,estimated,partial,week
