stream,creel_covered,nepa_even5yr,our_even5yr,n_even,even_usable,diff_even,pct_diff_even,flag_even,nepa_odd5yr,our_odd5yr,n_odd,odd_usable,diff_odd,pct_diff_odd,flag_odd
SAMISH R.,FALSE,7878.8,8186.4,5,TRUE,307.59999999999945,0.039041478397725475,FALSE,8391.6,8758.8,5,TRUE,367.1999999999989,0.043758043758043624,FALSE
SAUK R.,FALSE,5.2,19.5,2,FALSE,14.3,2.75,FALSE,0,61,2,FALSE,61,NA,FALSE
SEKIU R.,FALSE,3.2,16.333333333333332,3,TRUE,13.133333333333333,4.104166666666666,TRUE,0,112,1,FALSE,112,NA,FALSE
SKOKOMISH R.,FALSE,0.2,10.25,4,TRUE,10.05,50.25,TRUE,1212,1570.25,4,TRUE,358.25,0.2955858085808581,TRUE
SKYKOMISH R.,FALSE,590,844.4,5,TRUE,254.39999999999998,0.4311864406779661,TRUE,3044.6,3046.6,5,TRUE,2,6.569007422978388e-4,FALSE
SNOQUALMIE R.,FALSE,57.4,74,5,TRUE,16.6,0.289198606271777,TRUE,138.2,150.8,5,TRUE,12.600000000000023,0.0911722141823446,FALSE
TAHUYA R.,FALSE,0,3,1,FALSE,3,NA,FALSE,0,0,2,FALSE,0,NA,FALSE
TOLT R.,FALSE,0,3.3333333333333335,3,TRUE,3.3333333333333335,NA,FALSE,19.2,41.333333333333336,3,TRUE,22.133333333333336,1.152777777777778,TRUE
UNION R.,FALSE,0,0,1,FALSE,0,NA,FALSE,0,10,1,FALSE,10,NA,FALSE
WHATCOM CR.,FALSE,1070.4,1010.4,5,TRUE,-60.000000000000114,-0.056053811659192924,FALSE,811.2,728.4,5,TRUE,-82.80000000000007,-0.10207100591715984,FALSE
